,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
18920,Aichi,2020-05-09,3.0,,,3.0,34.0,
18921,Aichi,2020-05-10,0.0,0.0,,3.0,34.0,
18922,Aichi,2020-05-11,1.0,0.0,,4.0,34.0,
18923,Aichi,2020-05-12,1.0,0.0,,5.0,34.0,
18924,Aichi,2020-05-13,1.0,0.0,,6.0,34.0,
18925,Aichi,2020-05-14,2.0,0.0,,8.0,34.0,
18926,Aichi,2020-05-15,1.0,0.0,,9.0,34.0,
18927,Aichi,2020-05-16,2.0,0.0,,11.0,34.0,
18928,Aichi,2020-05-17,0.0,0.0,,11.0,34.0,
18929,Aichi,2020-05-18,0.0,0.0,,11.0,34.0,
18930,Aichi,2020-05-19,0.0,0.0,,11.0,34.0,
18931,Aichi,2020-05-20,0.0,0.0,,11.0,34.0,
18932,Aichi,2020-05-21,0.0,0.0,,11.0,34.0,
18933,Aichi,2020-05-22,0.0,0.0,,11.0,34.0,
18934,Aichi,2020-05-23,1.0,0.0,,12.0,34.0,
18935,Aichi,2020-05-24,0.0,0.0,,12.0,34.0,
18936,Aichi,2020-05-25,0.0,0.0,,12.0,34.0,
18937,Aichi,2020-05-26,0.0,0.0,,12.0,34.0,
18938,Aichi,2020-05-27,0.0,0.0,,12.0,34.0,
18939,Aichi,2020-05-28,0.0,0.0,,12.0,34.0,
18940,Aichi,2020-05-29,0.0,0.0,,12.0,34.0,
18941,Aichi,2020-05-30,1.0,0.0,,13.0,34.0,
18942,Aichi,2020-05-31,0.0,0.0,,13.0,34.0,
18943,Aichi,2020-06-01,0.0,0.0,,13.0,34.0,
18944,Aichi,2020-06-02,1.0,0.0,,14.0,34.0,
18945,Aichi,2020-06-03,0.0,0.0,,14.0,34.0,
18946,Aichi,2020-06-04,0.0,0.0,,14.0,34.0,
18947,Aichi,2020-06-05,1.0,0.0,,15.0,34.0,
18948,Aichi,2020-06-06,0.0,0.0,,15.0,34.0,
18949,Aichi,2020-06-07,1.0,0.0,,16.0,34.0,
18950,Aichi,2020-06-08,0.0,0.0,,16.0,34.0,
18951,Aichi,2020-06-09,0.0,0.0,,16.0,34.0,
18952,Aichi,2020-06-10,2.0,0.0,,18.0,34.0,
18953,Aichi,2020-06-11,0.0,0.0,,18.0,34.0,
18954,Aichi,2020-06-12,2.0,0.0,,20.0,34.0,
18955,Aichi,2020-06-13,1.0,0.0,,21.0,34.0,
18956,Aichi,2020-06-14,0.0,0.0,,21.0,34.0,
18957,Aichi,2020-06-15,1.0,0.0,,22.0,34.0,
18958,Aichi,2020-06-16,1.0,0.0,,23.0,34.0,
18959,Aichi,2020-06-17,3.0,0.0,,26.0,34.0,
18960,Aichi,2020-06-18,0.0,0.0,,26.0,34.0,
18961,Aichi,2020-06-19,1.0,0.0,,27.0,34.0,
18962,Aichi,2020-06-20,1.0,0.0,,28.0,34.0,
18963,Aichi,2020-06-21,0.0,0.0,,28.0,34.0,
18964,Aichi,2020-06-22,0.0,0.0,,28.0,34.0,
18965,Aichi,2020-06-23,0.0,0.0,,28.0,34.0,
18966,Aichi,2020-06-24,0.0,0.0,,28.0,34.0,
18967,Aichi,2020-06-25,0.0,0.0,,28.0,34.0,
18968,Aichi,2020-06-26,0.0,0.0,,28.0,34.0,
18969,Aichi,2020-06-27,0.0,0.0,,28.0,34.0,
18970,Aichi,2020-06-28,0.0,0.0,,28.0,34.0,
