,estado,date,new_hospitalized_patients,cumulative_hospitalized_patients
1620,City of Buenos Aires,2002-01-07,0.0,0.0
1621,City of Buenos Aires,2019-12-19,0.0,0.0
1622,City of Buenos Aires,2020-01-01,1.0,1.0
1623,City of Buenos Aires,2020-01-04,0.0,1.0
1624,City of Buenos Aires,2020-01-06,0.0,1.0
1625,City of Buenos Aires,2020-01-07,0.0,1.0
1626,City of Buenos Aires,2020-01-10,0.0,1.0
1627,City of Buenos Aires,2020-01-12,0.0,1.0
1628,City of Buenos Aires,2020-01-13,1.0,2.0
1629,City of Buenos Aires,2020-01-17,0.0,2.0
1630,City of Buenos Aires,2020-01-27,0.0,2.0
1631,City of Buenos Aires,2020-01-29,0.0,2.0
1632,City of Buenos Aires,2020-01-30,0.0,2.0
1633,City of Buenos Aires,2020-02-01,0.0,2.0
1634,City of Buenos Aires,2020-02-11,0.0,2.0
1635,City of Buenos Aires,2020-02-12,0.0,2.0
1636,City of Buenos Aires,2020-02-14,1.0,3.0
1637,City of Buenos Aires,2020-02-15,2.0,5.0
1638,City of Buenos Aires,2020-02-24,0.0,5.0
1639,City of Buenos Aires,2020-02-25,0.0,5.0
1640,City of Buenos Aires,2020-02-26,5.0,10.0
1641,City of Buenos Aires,2020-02-28,1.0,11.0
1642,City of Buenos Aires,2020-02-29,2.0,13.0
1643,City of Buenos Aires,2020-03-01,2.0,15.0
1644,City of Buenos Aires,2020-03-02,3.0,18.0
1645,City of Buenos Aires,2020-03-03,2.0,20.0
1646,City of Buenos Aires,2020-03-04,7.0,27.0
1647,City of Buenos Aires,2020-03-05,1.0,28.0
1648,City of Buenos Aires,2020-03-06,6.0,34.0
1649,City of Buenos Aires,2020-03-07,6.0,40.0
1650,City of Buenos Aires,2020-03-08,12.0,52.0
1651,City of Buenos Aires,2020-03-09,13.0,65.0
1652,City of Buenos Aires,2020-03-10,11.0,76.0
1653,City of Buenos Aires,2020-03-11,22.0,98.0
1654,City of Buenos Aires,2020-03-12,33.0,131.0
1655,City of Buenos Aires,2020-03-13,33.0,164.0
1656,City of Buenos Aires,2020-03-14,26.0,190.0
1657,City of Buenos Aires,2020-03-15,27.0,217.0
1658,City of Buenos Aires,2020-03-16,28.0,245.0
1659,City of Buenos Aires,2020-03-17,50.0,295.0
1660,City of Buenos Aires,2020-03-18,35.0,330.0
1661,City of Buenos Aires,2020-03-19,33.0,363.0
1662,City of Buenos Aires,2020-03-20,39.0,402.0
1663,City of Buenos Aires,2020-03-21,63.0,465.0
1664,City of Buenos Aires,2020-03-22,54.0,519.0
1665,City of Buenos Aires,2020-03-23,77.0,596.0
1666,City of Buenos Aires,2020-03-24,57.0,653.0
1667,City of Buenos Aires,2020-03-25,59.0,712.0
1668,City of Buenos Aires,2020-03-26,82.0,794.0
1669,City of Buenos Aires,2020-03-27,92.0,886.0
1670,City of Buenos Aires,2020-03-28,81.0,967.0
1671,City of Buenos Aires,2020-03-29,77.0,1044.0
1672,City of Buenos Aires,2020-03-30,115.0,1159.0
1673,City of Buenos Aires,2020-03-31,140.0,1299.0
1674,City of Buenos Aires,2020-04-01,197.0,1496.0
1675,City of Buenos Aires,2020-04-02,178.0,1674.0
1676,City of Buenos Aires,2020-04-03,174.0,1848.0
1677,City of Buenos Aires,2020-04-04,152.0,2000.0
1678,City of Buenos Aires,2020-04-05,152.0,2152.0
1679,City of Buenos Aires,2020-04-06,183.0,2335.0
1680,City of Buenos Aires,2020-04-07,170.0,2505.0
1681,City of Buenos Aires,2020-04-08,175.0,2680.0
1682,City of Buenos Aires,2020-04-09,129.0,2809.0
1683,City of Buenos Aires,2020-04-10,132.0,2941.0
1684,City of Buenos Aires,2020-04-11,133.0,3074.0
1685,City of Buenos Aires,2020-04-12,141.0,3215.0
1686,City of Buenos Aires,2020-04-13,185.0,3400.0
1687,City of Buenos Aires,2020-04-14,154.0,3554.0
1688,City of Buenos Aires,2020-04-15,159.0,3713.0
1689,City of Buenos Aires,2020-04-16,170.0,3883.0
1690,City of Buenos Aires,2020-04-17,172.0,4055.0
1691,City of Buenos Aires,2020-04-18,161.0,4216.0
1692,City of Buenos Aires,2020-04-19,151.0,4367.0
1693,City of Buenos Aires,2020-04-20,201.0,4568.0
1694,City of Buenos Aires,2020-04-21,190.0,4758.0
1695,City of Buenos Aires,2020-04-22,245.0,5003.0
1696,City of Buenos Aires,2020-04-23,234.0,5237.0
1697,City of Buenos Aires,2020-04-24,190.0,5427.0
1698,City of Buenos Aires,2020-04-25,172.0,5599.0
1699,City of Buenos Aires,2020-04-26,148.0,5747.0
1700,City of Buenos Aires,2020-04-27,201.0,5948.0
1701,City of Buenos Aires,2020-04-28,150.0,6098.0
1702,City of Buenos Aires,2020-04-29,174.0,6272.0
1703,City of Buenos Aires,2020-04-30,193.0,6465.0
1704,City of Buenos Aires,2020-05-01,162.0,6627.0
1705,City of Buenos Aires,2020-05-02,139.0,6766.0
1706,City of Buenos Aires,2020-05-03,138.0,6904.0
1707,City of Buenos Aires,2020-05-04,205.0,7109.0
1708,City of Buenos Aires,2020-05-05,202.0,7311.0
1709,City of Buenos Aires,2020-05-06,187.0,7498.0
1710,City of Buenos Aires,2020-05-07,225.0,7723.0
1711,City of Buenos Aires,2020-05-08,234.0,7957.0
1712,City of Buenos Aires,2020-05-09,187.0,8144.0
1713,City of Buenos Aires,2020-05-10,181.0,8325.0
1714,City of Buenos Aires,2020-05-11,256.0,8581.0
1715,City of Buenos Aires,2020-05-12,250.0,8831.0
1716,City of Buenos Aires,2020-05-13,232.0,9063.0
1717,City of Buenos Aires,2020-05-14,238.0,9301.0
1718,City of Buenos Aires,2020-05-15,206.0,9507.0
1719,City of Buenos Aires,2020-05-16,202.0,9709.0
1720,City of Buenos Aires,2020-05-17,223.0,9932.0
1721,City of Buenos Aires,2020-05-18,297.0,10229.0
1722,City of Buenos Aires,2020-05-19,262.0,10491.0
1723,City of Buenos Aires,2020-05-20,300.0,10791.0
1724,City of Buenos Aires,2020-05-21,283.0,11074.0
1725,City of Buenos Aires,2020-05-22,244.0,11318.0
1726,City of Buenos Aires,2020-05-23,224.0,11542.0
1727,City of Buenos Aires,2020-05-24,241.0,11783.0
1728,City of Buenos Aires,2020-05-25,269.0,12052.0
1729,City of Buenos Aires,2020-05-26,286.0,12338.0
1730,City of Buenos Aires,2020-05-27,306.0,12644.0
1731,City of Buenos Aires,2020-05-28,301.0,12945.0
1732,City of Buenos Aires,2020-05-29,266.0,13211.0
1733,City of Buenos Aires,2020-05-30,261.0,13472.0
1734,City of Buenos Aires,2020-05-31,200.0,13672.0
1735,City of Buenos Aires,2020-06-01,262.0,13934.0
1736,City of Buenos Aires,2020-06-02,251.0,14185.0
1737,City of Buenos Aires,2020-06-03,307.0,14492.0
1738,City of Buenos Aires,2020-06-04,254.0,14746.0
1739,City of Buenos Aires,2020-06-05,272.0,15018.0
1740,City of Buenos Aires,2020-06-06,254.0,15272.0
1741,City of Buenos Aires,2020-06-07,230.0,15502.0
1742,City of Buenos Aires,2020-06-08,276.0,15778.0
1743,City of Buenos Aires,2020-06-09,335.0,16113.0
1744,City of Buenos Aires,2020-06-10,353.0,16466.0
1745,City of Buenos Aires,2020-06-11,339.0,16805.0
