,estado,date,new_deceased,cumulative_deceased
1613,City of Buenos Aires,2020-01-01,0.0,0.0
1614,City of Buenos Aires,2020-01-04,0.0,0.0
1615,City of Buenos Aires,2020-01-06,0.0,0.0
1616,City of Buenos Aires,2020-01-07,0.0,0.0
1617,City of Buenos Aires,2020-01-10,0.0,0.0
1618,City of Buenos Aires,2020-01-12,0.0,0.0
1619,City of Buenos Aires,2020-01-13,0.0,0.0
1620,City of Buenos Aires,2020-01-17,0.0,0.0
1621,City of Buenos Aires,2020-01-27,0.0,0.0
1622,City of Buenos Aires,2020-01-29,0.0,0.0
1623,City of Buenos Aires,2020-01-30,0.0,0.0
1624,City of Buenos Aires,2020-02-01,0.0,0.0
1625,City of Buenos Aires,2020-02-11,0.0,0.0
1626,City of Buenos Aires,2020-02-12,0.0,0.0
1627,City of Buenos Aires,2020-02-14,0.0,0.0
1628,City of Buenos Aires,2020-02-15,0.0,0.0
1629,City of Buenos Aires,2020-02-24,0.0,0.0
1630,City of Buenos Aires,2020-02-25,0.0,0.0
1631,City of Buenos Aires,2020-02-26,0.0,0.0
1632,City of Buenos Aires,2020-02-28,0.0,0.0
1633,City of Buenos Aires,2020-02-29,0.0,0.0
1634,City of Buenos Aires,2020-03-01,0.0,0.0
1635,City of Buenos Aires,2020-03-02,0.0,0.0
1636,City of Buenos Aires,2020-03-03,0.0,0.0
1637,City of Buenos Aires,2020-03-04,0.0,0.0
1638,City of Buenos Aires,2020-03-05,0.0,0.0
1639,City of Buenos Aires,2020-03-06,0.0,0.0
1640,City of Buenos Aires,2020-03-07,1.0,1.0
1641,City of Buenos Aires,2020-03-08,0.0,1.0
1642,City of Buenos Aires,2020-03-09,0.0,1.0
1643,City of Buenos Aires,2020-03-10,0.0,1.0
1644,City of Buenos Aires,2020-03-11,0.0,1.0
1645,City of Buenos Aires,2020-03-12,0.0,1.0
1646,City of Buenos Aires,2020-03-13,0.0,1.0
1647,City of Buenos Aires,2020-03-14,0.0,1.0
1648,City of Buenos Aires,2020-03-15,0.0,1.0
1649,City of Buenos Aires,2020-03-16,0.0,1.0
1650,City of Buenos Aires,2020-03-17,0.0,1.0
1651,City of Buenos Aires,2020-03-18,1.0,2.0
1652,City of Buenos Aires,2020-03-19,0.0,2.0
1653,City of Buenos Aires,2020-03-20,0.0,2.0
1654,City of Buenos Aires,2020-03-21,0.0,2.0
1655,City of Buenos Aires,2020-03-22,0.0,2.0
1656,City of Buenos Aires,2020-03-23,0.0,2.0
1657,City of Buenos Aires,2020-03-24,0.0,2.0
1658,City of Buenos Aires,2020-03-25,2.0,4.0
1659,City of Buenos Aires,2020-03-26,0.0,4.0
