,cidade,date,total_confirmed,new_confirmed,total_deceased,new_deceased
108,Campinas,2020-02-25,0,0,0,0
753,Campinas,2020-02-26,0,0,0,0
1398,Campinas,2020-02-27,0,0,0,0
2043,Campinas,2020-02-28,0,0,0,0
2688,Campinas,2020-02-29,0,0,0,0
3333,Campinas,2020-03-01,0,0,0,0
3978,Campinas,2020-03-02,0,0,0,0
4623,Campinas,2020-03-03,0,0,0,0
5268,Campinas,2020-03-04,0,0,0,0
5913,Campinas,2020-03-05,0,0,0,0
6558,Campinas,2020-03-06,0,0,0,0
7203,Campinas,2020-03-07,0,0,0,0
7848,Campinas,2020-03-08,0,0,0,0
8493,Campinas,2020-03-09,0,0,0,0
9138,Campinas,2020-03-10,0,0,0,0
9783,Campinas,2020-03-11,0,0,0,0
10428,Campinas,2020-03-12,0,0,0,0
11073,Campinas,2020-03-13,0,0,0,0
11718,Campinas,2020-03-14,0,0,0,0
12363,Campinas,2020-03-15,0,0,0,0
13008,Campinas,2020-03-16,0,0,0,0
13653,Campinas,2020-03-17,0,0,0,0
14298,Campinas,2020-03-18,1,1,0,0
14943,Campinas,2020-03-19,1,0,0,0
15588,Campinas,2020-03-20,1,0,0,0
16233,Campinas,2020-03-21,1,0,0,0
16878,Campinas,2020-03-22,1,0,0,0
17523,Campinas,2020-03-23,1,0,0,0
18168,Campinas,2020-03-24,1,0,0,0
18813,Campinas,2020-03-25,4,3,0,0
19458,Campinas,2020-03-26,4,0,0,0
20103,Campinas,2020-03-27,5,1,0,0
20748,Campinas,2020-03-28,5,0,0,0
21393,Campinas,2020-03-29,5,0,0,0
22038,Campinas,2020-03-30,11,6,0,0
22683,Campinas,2020-03-31,15,4,1,1
23328,Campinas,2020-04-01,22,7,1,0
23973,Campinas,2020-04-02,23,1,1,0
24618,Campinas,2020-04-03,24,1,1,0
25263,Campinas,2020-04-04,26,2,4,3
25908,Campinas,2020-04-05,26,0,4,0
26553,Campinas,2020-04-06,28,2,4,0
27198,Campinas,2020-04-07,50,22,4,0
27843,Campinas,2020-04-08,72,22,5,1
28488,Campinas,2020-04-09,83,11,5,0
29133,Campinas,2020-04-10,100,17,5,0
29778,Campinas,2020-04-11,100,0,5,0
30423,Campinas,2020-04-12,106,6,5,0
31068,Campinas,2020-04-13,107,1,5,0
31713,Campinas,2020-04-14,112,5,5,0
32358,Campinas,2020-04-15,142,30,5,0
33003,Campinas,2020-04-16,149,7,7,2
33648,Campinas,2020-04-17,164,15,7,0
34293,Campinas,2020-04-18,184,20,7,0
34938,Campinas,2020-04-19,184,0,7,0
35583,Campinas,2020-04-20,192,8,7,0
36228,Campinas,2020-04-21,199,7,7,0
36873,Campinas,2020-04-22,202,3,9,2
37518,Campinas,2020-04-23,211,9,9,0
38163,Campinas,2020-04-24,229,18,11,2
38808,Campinas,2020-04-25,256,27,11,0
39453,Campinas,2020-04-26,262,6,12,1
40098,Campinas,2020-04-27,279,17,12,0
40743,Campinas,2020-04-28,320,41,12,0
41388,Campinas,2020-04-29,344,24,16,4
42033,Campinas,2020-04-30,369,25,18,2
42678,Campinas,2020-05-01,372,3,19,1
43323,Campinas,2020-05-02,380,8,20,1
43968,Campinas,2020-05-03,402,22,21,1
44613,Campinas,2020-05-04,403,1,21,0
45258,Campinas,2020-05-05,430,27,22,1
45903,Campinas,2020-05-06,462,32,22,0
46548,Campinas,2020-05-07,495,33,23,1
47193,Campinas,2020-05-08,527,32,25,2
47838,Campinas,2020-05-09,595,68,25,0
48483,Campinas,2020-05-10,609,14,25,0
49128,Campinas,2020-05-11,615,6,26,1
49773,Campinas,2020-05-12,643,28,27,1
50418,Campinas,2020-05-13,730,87,27,0
51063,Campinas,2020-05-14,769,39,29,2
51708,Campinas,2020-05-15,840,71,33,4
52353,Campinas,2020-05-16,946,106,35,2
52998,Campinas,2020-05-17,987,41,37,2
53643,Campinas,2020-05-18,1006,19,41,4
54288,Campinas,2020-05-19,1073,67,42,1
54933,Campinas,2020-05-20,1132,59,44,2
55578,Campinas,2020-05-21,1192,60,45,1
56223,Campinas,2020-05-22,1247,55,47,2
56868,Campinas,2020-05-23,1306,59,52,5
57513,Campinas,2020-05-24,1335,29,53,1
58158,Campinas,2020-05-25,1382,47,57,4
58803,Campinas,2020-05-26,1415,33,61,4
59448,Campinas,2020-05-27,1454,39,64,3
60093,Campinas,2020-05-28,1520,66,65,1
60738,Campinas,2020-05-29,1627,107,69,4
61383,Campinas,2020-05-30,1733,106,74,5
62028,Campinas,2020-05-31,1753,20,75,1
62673,Campinas,2020-06-01,1822,69,78,3
63318,Campinas,2020-06-02,1928,106,79,1
63963,Campinas,2020-06-03,2099,171,80,1
64608,Campinas,2020-06-04,2247,148,90,10
