,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
9460,Chiba,2020-05-09,3.0,,,3.0,39.0,
9461,Chiba,2020-05-10,0.0,1.0,,3.0,40.0,
9462,Chiba,2020-05-11,3.0,0.0,,6.0,40.0,
9463,Chiba,2020-05-12,3.0,0.0,,9.0,40.0,
9464,Chiba,2020-05-13,2.0,0.0,,11.0,40.0,
9465,Chiba,2020-05-14,0.0,0.0,,11.0,40.0,
9466,Chiba,2020-05-15,2.0,2.0,,13.0,42.0,
9467,Chiba,2020-05-16,8.0,0.0,,21.0,42.0,
9468,Chiba,2020-05-17,0.0,0.0,,21.0,42.0,
9469,Chiba,2020-05-18,2.0,0.0,,23.0,42.0,
9470,Chiba,2020-05-19,0.0,0.0,,23.0,42.0,
9471,Chiba,2020-05-20,1.0,0.0,,24.0,42.0,
9472,Chiba,2020-05-21,3.0,2.0,,27.0,44.0,
9473,Chiba,2020-05-22,1.0,0.0,,28.0,44.0,
9474,Chiba,2020-05-23,0.0,0.0,,28.0,44.0,
9475,Chiba,2020-05-24,0.0,0.0,,28.0,44.0,
9476,Chiba,2020-05-25,0.0,0.0,,28.0,44.0,
9477,Chiba,2020-05-26,0.0,0.0,,28.0,44.0,
9478,Chiba,2020-05-27,2.0,0.0,,30.0,44.0,
9479,Chiba,2020-05-28,1.0,1.0,,31.0,45.0,
9480,Chiba,2020-05-29,0.0,0.0,,31.0,45.0,
9481,Chiba,2020-05-30,1.0,0.0,,32.0,45.0,
9482,Chiba,2020-05-31,2.0,0.0,,34.0,45.0,
9483,Chiba,2020-06-01,0.0,0.0,,34.0,45.0,
9484,Chiba,2020-06-02,1.0,0.0,,35.0,45.0,
9485,Chiba,2020-06-03,1.0,0.0,,36.0,45.0,
9486,Chiba,2020-06-04,0.0,0.0,,36.0,45.0,
9487,Chiba,2020-06-05,1.0,0.0,,37.0,45.0,
9488,Chiba,2020-06-06,0.0,0.0,,37.0,45.0,
9489,Chiba,2020-06-07,3.0,0.0,,40.0,45.0,
9490,Chiba,2020-06-08,0.0,0.0,,40.0,45.0,
9491,Chiba,2020-06-09,3.0,0.0,,43.0,45.0,
9492,Chiba,2020-06-10,2.0,0.0,,45.0,45.0,
9493,Chiba,2020-06-11,3.0,0.0,,48.0,45.0,
9494,Chiba,2020-06-12,3.0,0.0,,51.0,45.0,
9495,Chiba,2020-06-13,1.0,0.0,,52.0,45.0,
9496,Chiba,2020-06-14,0.0,0.0,,52.0,45.0,
9497,Chiba,2020-06-15,0.0,0.0,,52.0,45.0,
9498,Chiba,2020-06-16,0.0,0.0,,52.0,45.0,
9499,Chiba,2020-06-17,1.0,0.0,,53.0,45.0,
9500,Chiba,2020-06-18,3.0,0.0,,56.0,45.0,
9501,Chiba,2020-06-19,0.0,0.0,,56.0,45.0,
9502,Chiba,2020-06-20,2.0,0.0,,58.0,45.0,
9503,Chiba,2020-06-21,0.0,0.0,,58.0,45.0,
9504,Chiba,2020-06-22,2.0,0.0,,60.0,45.0,
9505,Chiba,2020-06-23,3.0,0.0,,63.0,45.0,
9506,Chiba,2020-06-24,4.0,0.0,,67.0,45.0,
9507,Chiba,2020-06-25,4.0,0.0,,71.0,45.0,
9508,Chiba,2020-06-26,4.0,0.0,,75.0,45.0,
9509,Chiba,2020-06-27,5.0,0.0,,80.0,45.0,
9510,Chiba,2020-06-28,3.0,0.0,,83.0,45.0,
9511,Chiba,2020-06-29,4.0,0.0,,87.0,45.0,
9512,Chiba,2020-06-30,7.0,0.0,,94.0,45.0,
9513,Chiba,2020-07-01,6.0,0.0,,100.0,45.0,
9514,Chiba,2020-07-02,11.0,0.0,,111.0,45.0,
9515,Chiba,2020-07-03,9.0,0.0,,120.0,45.0,
9516,Chiba,2020-07-04,15.0,0.0,,135.0,45.0,
9517,Chiba,2020-07-05,7.0,0.0,,142.0,45.0,
9518,Chiba,2020-07-06,9.0,0.0,,151.0,45.0,
9519,Chiba,2020-07-07,11.0,1.0,,162.0,46.0,
9520,Chiba,2020-07-08,9.0,0.0,,171.0,46.0,
9521,Chiba,2020-07-09,22.0,0.0,,193.0,46.0,
9522,Chiba,2020-07-10,12.0,0.0,,205.0,46.0,
9523,Chiba,2020-07-11,13.0,0.0,,218.0,46.0,
9524,Chiba,2020-07-12,31.0,0.0,,249.0,46.0,
9525,Chiba,2020-07-13,17.0,0.0,,266.0,46.0,
9526,Chiba,2020-07-14,25.0,0.0,,291.0,46.0,
9527,Chiba,2020-07-15,29.0,0.0,,320.0,46.0,
9528,Chiba,2020-07-16,32.0,0.0,,352.0,46.0,
9529,Chiba,2020-07-17,20.0,0.0,,372.0,46.0,
9530,Chiba,2020-07-18,33.0,0.0,,405.0,46.0,
9531,Chiba,2020-07-19,23.0,0.0,,428.0,46.0,
9532,Chiba,2020-07-20,18.0,0.0,,446.0,46.0,
9533,Chiba,2020-07-21,15.0,0.0,,461.0,46.0,
9534,Chiba,2020-07-22,40.0,0.0,,501.0,46.0,
9535,Chiba,2020-07-23,33.0,0.0,,534.0,46.0,
9536,Chiba,2020-07-24,26.0,0.0,,560.0,46.0,
9537,Chiba,2020-07-25,21.0,0.0,,581.0,46.0,
9538,Chiba,2020-07-26,22.0,0.0,,603.0,46.0,
9539,Chiba,2020-07-27,24.0,0.0,,627.0,46.0,
9540,Chiba,2020-07-28,23.0,2.0,,650.0,48.0,
9541,Chiba,2020-07-29,50.0,0.0,,700.0,48.0,
9542,Chiba,2020-07-30,49.0,0.0,,749.0,48.0,
9543,Chiba,2020-07-31,35.0,1.0,,784.0,49.0,
9544,Chiba,2020-08-01,73.0,0.0,,857.0,49.0,
9545,Chiba,2020-08-02,51.0,0.0,,908.0,49.0,
9546,Chiba,2020-08-03,43.0,1.0,,951.0,50.0,
9547,Chiba,2020-08-04,47.0,0.0,,998.0,50.0,
9548,Chiba,2020-08-05,50.0,1.0,,1048.0,51.0,
9549,Chiba,2020-08-06,76.0,0.0,,1124.0,51.0,
9550,Chiba,2020-08-07,66.0,1.0,,1190.0,52.0,
9551,Chiba,2020-08-08,53.0,0.0,,1243.0,52.0,
9552,Chiba,2020-08-09,46.0,2.0,,1289.0,54.0,
9553,Chiba,2020-08-10,41.0,0.0,,1330.0,54.0,
9554,Chiba,2020-08-11,18.0,1.0,,1348.0,55.0,
9555,Chiba,2020-08-12,34.0,0.0,,1382.0,55.0,
9556,Chiba,2020-08-13,46.0,0.0,,1428.0,55.0,
9557,Chiba,2020-08-14,51.0,1.0,,1479.0,56.0,
9558,Chiba,2020-08-15,61.0,0.0,,1540.0,56.0,
9559,Chiba,2020-08-16,48.0,0.0,,1588.0,56.0,
9560,Chiba,2020-08-17,32.0,2.0,,1620.0,58.0,
9561,Chiba,2020-08-18,37.0,0.0,,1657.0,58.0,
9562,Chiba,2020-08-19,46.0,0.0,,1703.0,58.0,
9563,Chiba,2020-08-20,65.0,0.0,,1768.0,58.0,
9564,Chiba,2020-08-21,53.0,1.0,,1821.0,59.0,
9565,Chiba,2020-08-22,43.0,0.0,,1864.0,59.0,
9566,Chiba,2020-08-23,37.0,0.0,,1901.0,59.0,
9567,Chiba,2020-08-24,28.0,0.0,,1929.0,59.0,
9568,Chiba,2020-08-25,33.0,1.0,,1962.0,60.0,
9569,Chiba,2020-08-26,43.0,1.0,,2005.0,61.0,
9570,Chiba,2020-08-27,45.0,0.0,,2050.0,61.0,
9571,Chiba,2020-08-28,41.0,0.0,,2091.0,61.0,
9572,Chiba,2020-08-29,33.0,0.0,,2124.0,61.0,
9573,Chiba,2020-08-30,39.0,1.0,,2163.0,62.0,
9574,Chiba,2020-08-31,17.0,0.0,,2180.0,62.0,
9575,Chiba,2020-09-01,18.0,1.0,,2198.0,63.0,
9576,Chiba,2020-09-02,24.0,0.0,,2222.0,63.0,
9577,Chiba,2020-09-03,33.0,0.0,,2255.0,63.0,
9578,Chiba,2020-09-04,35.0,0.0,,2290.0,63.0,
9579,Chiba,2020-09-05,28.0,0.0,,2318.0,63.0,
9580,Chiba,2020-09-06,23.0,1.0,,2341.0,64.0,
9581,Chiba,2020-09-07,14.0,0.0,,2355.0,64.0,
9582,Chiba,2020-09-08,32.0,0.0,,2387.0,64.0,
9583,Chiba,2020-09-09,23.0,1.0,,2410.0,65.0,
9584,Chiba,2020-09-10,28.0,1.0,,2438.0,66.0,
9585,Chiba,2020-09-11,31.0,0.0,,2469.0,66.0,
9586,Chiba,2020-09-12,45.0,1.0,,2514.0,67.0,
9587,Chiba,2020-09-13,20.0,0.0,,2534.0,67.0,
9588,Chiba,2020-09-14,11.0,0.0,,2545.0,67.0,
9589,Chiba,2020-09-15,30.0,0.0,,2575.0,67.0,
9590,Chiba,2020-09-16,37.0,0.0,,2612.0,67.0,
9591,Chiba,2020-09-17,34.0,0.0,,2646.0,67.0,
9592,Chiba,2020-09-18,40.0,1.0,,2686.0,68.0,
9593,Chiba,2020-09-19,46.0,0.0,,2732.0,68.0,
9594,Chiba,2020-09-20,35.0,0.0,,2767.0,68.0,
9595,Chiba,2020-09-21,14.0,0.0,,2781.0,68.0,
9596,Chiba,2020-09-22,18.0,0.0,,2799.0,68.0,
9597,Chiba,2020-09-23,20.0,0.0,,2819.0,68.0,
9598,Chiba,2020-09-24,26.0,2.0,,2845.0,70.0,
9599,Chiba,2020-09-25,31.0,0.0,,2876.0,70.0,
9600,Chiba,2020-09-26,38.0,0.0,,2914.0,70.0,
9601,Chiba,2020-09-27,21.0,0.0,,2935.0,70.0,
9602,Chiba,2020-09-28,16.0,0.0,,2951.0,70.0,
9603,Chiba,2020-09-29,40.0,1.0,,2991.0,71.0,
9604,Chiba,2020-09-30,34.0,0.0,,3025.0,71.0,
9605,Chiba,2020-10-01,38.0,0.0,,3063.0,71.0,
9606,Chiba,2020-10-02,34.0,1.0,,3097.0,72.0,
9607,Chiba,2020-10-03,42.0,0.0,,3139.0,72.0,
9608,Chiba,2020-10-04,37.0,0.0,,3176.0,72.0,
9609,Chiba,2020-10-05,22.0,0.0,,3198.0,72.0,
9610,Chiba,2020-10-06,41.0,0.0,,3239.0,72.0,
9611,Chiba,2020-10-07,44.0,0.0,,3283.0,72.0,
9612,Chiba,2020-10-08,39.0,0.0,,3322.0,72.0,
9613,Chiba,2020-10-09,39.0,0.0,,3361.0,72.0,
9614,Chiba,2020-10-10,35.0,0.0,,3396.0,72.0,
9615,Chiba,2020-10-11,43.0,1.0,,3439.0,73.0,
9616,Chiba,2020-10-12,11.0,0.0,,3450.0,73.0,
9617,Chiba,2020-10-13,24.0,1.0,,3474.0,74.0,
