,estado,date,new_deceased,cumulative_deceased
16613,Córdoba,2020-01-02,0.0,0.0
16614,Córdoba,2020-01-04,0.0,0.0
16615,Córdoba,2020-01-10,0.0,0.0
16616,Córdoba,2020-01-17,0.0,0.0
16617,Córdoba,2020-02-10,0.0,0.0
16618,Córdoba,2020-02-27,0.0,0.0
16619,Córdoba,2020-02-28,0.0,0.0
16620,Córdoba,2020-03-02,0.0,0.0
16621,Córdoba,2020-03-06,0.0,0.0
16622,Córdoba,2020-03-07,0.0,0.0
16623,Córdoba,2020-03-08,0.0,0.0
16624,Córdoba,2020-03-09,0.0,0.0
16625,Córdoba,2020-03-10,0.0,0.0
16626,Córdoba,2020-03-11,0.0,0.0
16627,Córdoba,2020-03-12,0.0,0.0
16628,Córdoba,2020-03-13,0.0,0.0
16629,Córdoba,2020-03-14,0.0,0.0
16630,Córdoba,2020-03-15,0.0,0.0
16631,Córdoba,2020-03-16,0.0,0.0
16632,Córdoba,2020-03-17,0.0,0.0
16633,Córdoba,2020-03-18,0.0,0.0
16634,Córdoba,2020-03-19,0.0,0.0
16635,Córdoba,2020-03-20,0.0,0.0
16636,Córdoba,2020-03-21,0.0,0.0
16637,Córdoba,2020-03-22,0.0,0.0
16638,Córdoba,2020-03-23,0.0,0.0
16639,Córdoba,2020-03-24,0.0,0.0
16640,Córdoba,2020-03-25,0.0,0.0
16641,Córdoba,2020-03-26,0.0,0.0
16642,Córdoba,2020-03-27,0.0,0.0
16643,Córdoba,2020-03-28,0.0,0.0
16644,Córdoba,2020-03-29,1.0,1.0
16645,Córdoba,2020-03-30,0.0,1.0
16646,Córdoba,2020-03-31,0.0,1.0
16647,Córdoba,2020-04-01,0.0,1.0
16648,Córdoba,2020-04-02,0.0,1.0
16649,Córdoba,2020-04-03,0.0,1.0
16650,Córdoba,2020-04-04,0.0,1.0
16651,Córdoba,2020-04-05,1.0,2.0
16652,Córdoba,2020-04-06,0.0,2.0
16653,Córdoba,2020-04-07,0.0,2.0
16654,Córdoba,2020-04-08,0.0,2.0
16655,Córdoba,2020-04-09,0.0,2.0
16656,Córdoba,2020-04-10,0.0,2.0
16657,Córdoba,2020-04-11,1.0,3.0
16658,Córdoba,2020-04-12,0.0,3.0
16659,Córdoba,2020-04-13,1.0,4.0
16660,Córdoba,2020-04-14,0.0,4.0
16661,Córdoba,2020-04-15,2.0,6.0
16662,Córdoba,2020-04-16,0.0,6.0
16663,Córdoba,2020-04-17,0.0,6.0
16664,Córdoba,2020-04-18,0.0,6.0
16665,Córdoba,2020-04-19,1.0,7.0
16666,Córdoba,2020-04-20,2.0,9.0
16667,Córdoba,2020-04-21,0.0,9.0
16668,Córdoba,2020-04-22,1.0,10.0
16669,Córdoba,2020-04-23,0.0,10.0
16670,Córdoba,2020-04-24,1.0,11.0
16671,Córdoba,2020-04-25,1.0,12.0
16672,Córdoba,2020-04-26,0.0,12.0
16673,Córdoba,2020-04-27,2.0,14.0
16674,Córdoba,2020-04-28,0.0,14.0
16675,Córdoba,2020-04-29,0.0,14.0
16676,Córdoba,2020-04-30,0.0,14.0
16677,Córdoba,2020-05-01,2.0,16.0
16678,Córdoba,2020-05-02,3.0,19.0
16679,Córdoba,2020-05-03,0.0,19.0
16680,Córdoba,2020-05-04,2.0,21.0
16681,Córdoba,2020-05-05,0.0,21.0
16682,Córdoba,2020-05-06,0.0,21.0
16683,Córdoba,2020-05-07,0.0,21.0
16684,Córdoba,2020-05-08,0.0,21.0
