,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
33540,Fukuoka,2020-05-09,2.0,,,2.0,24.0,
33541,Fukuoka,2020-05-10,1.0,0.0,,3.0,24.0,
33542,Fukuoka,2020-05-11,0.0,0.0,,3.0,24.0,
33543,Fukuoka,2020-05-12,1.0,0.0,,4.0,24.0,
33544,Fukuoka,2020-05-13,1.0,0.0,,5.0,24.0,
33545,Fukuoka,2020-05-14,1.0,1.0,,6.0,25.0,
33546,Fukuoka,2020-05-15,0.0,0.0,,6.0,25.0,
33547,Fukuoka,2020-05-16,0.0,0.0,,6.0,25.0,
33548,Fukuoka,2020-05-17,1.0,0.0,,7.0,25.0,
33549,Fukuoka,2020-05-18,0.0,0.0,,7.0,25.0,
33550,Fukuoka,2020-05-19,0.0,0.0,,7.0,25.0,
33551,Fukuoka,2020-05-20,0.0,0.0,,7.0,25.0,
33552,Fukuoka,2020-05-21,0.0,0.0,,7.0,25.0,
33553,Fukuoka,2020-05-22,0.0,0.0,,7.0,25.0,
33554,Fukuoka,2020-05-23,4.0,0.0,,11.0,25.0,
33555,Fukuoka,2020-05-24,4.0,0.0,,15.0,25.0,
33556,Fukuoka,2020-05-25,6.0,0.0,,21.0,25.0,
33557,Fukuoka,2020-05-26,2.0,0.0,,23.0,25.0,
33558,Fukuoka,2020-05-27,8.0,0.0,,31.0,25.0,
33559,Fukuoka,2020-05-28,21.0,0.0,,52.0,25.0,
33560,Fukuoka,2020-05-29,26.0,1.0,,78.0,26.0,
33561,Fukuoka,2020-05-30,17.0,0.0,,95.0,26.0,
33562,Fukuoka,2020-05-31,12.0,0.0,,107.0,26.0,
33563,Fukuoka,2020-06-01,16.0,0.0,,123.0,26.0,
33564,Fukuoka,2020-06-02,6.0,1.0,,129.0,27.0,
33565,Fukuoka,2020-06-03,6.0,0.0,,135.0,27.0,
33566,Fukuoka,2020-06-04,6.0,0.0,,141.0,27.0,
33567,Fukuoka,2020-06-05,5.0,0.0,,146.0,27.0,
33568,Fukuoka,2020-06-06,2.0,0.0,,148.0,27.0,
33569,Fukuoka,2020-06-07,3.0,0.0,,151.0,27.0,
33570,Fukuoka,2020-06-08,3.0,0.0,,154.0,27.0,
33571,Fukuoka,2020-06-09,3.0,0.0,,157.0,27.0,
33572,Fukuoka,2020-06-10,2.0,0.0,,159.0,27.0,
33573,Fukuoka,2020-06-11,2.0,1.0,,161.0,28.0,
33574,Fukuoka,2020-06-12,9.0,0.0,,170.0,28.0,
33575,Fukuoka,2020-06-13,1.0,0.0,,171.0,28.0,
33576,Fukuoka,2020-06-14,3.0,0.0,,174.0,28.0,
33577,Fukuoka,2020-06-15,1.0,0.0,,175.0,28.0,
33578,Fukuoka,2020-06-16,1.0,0.0,,176.0,28.0,
33579,Fukuoka,2020-06-17,3.0,0.0,,179.0,28.0,
33580,Fukuoka,2020-06-18,3.0,0.0,,182.0,28.0,
33581,Fukuoka,2020-06-19,5.0,0.0,,187.0,28.0,
33582,Fukuoka,2020-06-20,0.0,0.0,,187.0,28.0,
33583,Fukuoka,2020-06-21,0.0,0.0,,187.0,28.0,
33584,Fukuoka,2020-06-22,0.0,0.0,,187.0,28.0,
33585,Fukuoka,2020-06-23,3.0,5.0,,190.0,33.0,
33586,Fukuoka,2020-06-24,1.0,0.0,,191.0,33.0,
33587,Fukuoka,2020-06-25,2.0,0.0,,193.0,33.0,
33588,Fukuoka,2020-06-26,0.0,0.0,,193.0,33.0,
33589,Fukuoka,2020-06-27,1.0,0.0,,194.0,33.0,
33590,Fukuoka,2020-06-28,0.0,0.0,,194.0,33.0,
33591,Fukuoka,2020-06-29,1.0,0.0,,195.0,33.0,
33592,Fukuoka,2020-06-30,4.0,0.0,,199.0,33.0,
33593,Fukuoka,2020-07-01,4.0,0.0,,203.0,33.0,
33594,Fukuoka,2020-07-02,4.0,0.0,,207.0,33.0,
33595,Fukuoka,2020-07-03,4.0,0.0,,211.0,33.0,
33596,Fukuoka,2020-07-04,6.0,0.0,,217.0,33.0,
33597,Fukuoka,2020-07-05,9.0,0.0,,226.0,33.0,
33598,Fukuoka,2020-07-06,1.0,0.0,,227.0,33.0,
33599,Fukuoka,2020-07-07,7.0,0.0,,234.0,33.0,
33600,Fukuoka,2020-07-08,13.0,0.0,,247.0,33.0,
33601,Fukuoka,2020-07-09,4.0,0.0,,251.0,33.0,
33602,Fukuoka,2020-07-10,6.0,0.0,,257.0,33.0,
33603,Fukuoka,2020-07-11,9.0,0.0,,266.0,33.0,
33604,Fukuoka,2020-07-12,5.0,0.0,,271.0,33.0,
33605,Fukuoka,2020-07-13,2.0,0.0,,273.0,33.0,
33606,Fukuoka,2020-07-14,4.0,0.0,,277.0,33.0,
33607,Fukuoka,2020-07-15,9.0,0.0,,286.0,33.0,
33608,Fukuoka,2020-07-16,16.0,0.0,,302.0,33.0,
33609,Fukuoka,2020-07-17,19.0,0.0,,321.0,33.0,
33610,Fukuoka,2020-07-18,24.0,0.0,,345.0,33.0,
33611,Fukuoka,2020-07-19,32.0,0.0,,377.0,33.0,
33612,Fukuoka,2020-07-20,32.0,0.0,,409.0,33.0,
33613,Fukuoka,2020-07-21,53.0,0.0,,462.0,33.0,
33614,Fukuoka,2020-07-22,61.0,0.0,,523.0,33.0,
33615,Fukuoka,2020-07-23,66.0,0.0,,589.0,33.0,
33616,Fukuoka,2020-07-24,52.0,0.0,,641.0,33.0,
33617,Fukuoka,2020-07-25,49.0,0.0,,690.0,33.0,
33618,Fukuoka,2020-07-26,90.0,0.0,,780.0,33.0,
33619,Fukuoka,2020-07-27,49.0,0.0,,829.0,33.0,
33620,Fukuoka,2020-07-28,54.0,0.0,,883.0,33.0,
33621,Fukuoka,2020-07-29,100.0,0.0,,983.0,33.0,
33622,Fukuoka,2020-07-30,121.0,0.0,,1104.0,33.0,
33623,Fukuoka,2020-07-31,169.0,0.0,,1273.0,33.0,
33624,Fukuoka,2020-08-01,121.0,1.0,,1394.0,34.0,
33625,Fukuoka,2020-08-02,145.0,0.0,,1539.0,34.0,
33626,Fukuoka,2020-08-03,75.0,0.0,,1614.0,34.0,
33627,Fukuoka,2020-08-04,87.0,1.0,,1701.0,35.0,
33628,Fukuoka,2020-08-05,123.0,0.0,,1824.0,35.0,
33629,Fukuoka,2020-08-06,136.0,0.0,,1960.0,35.0,
33630,Fukuoka,2020-08-07,140.0,1.0,,2100.0,36.0,
33631,Fukuoka,2020-08-08,127.0,0.0,,2227.0,36.0,
33632,Fukuoka,2020-08-09,131.0,1.0,,2358.0,37.0,
33633,Fukuoka,2020-08-10,72.0,0.0,,2430.0,37.0,
33634,Fukuoka,2020-08-11,54.0,1.0,,2484.0,38.0,
33635,Fukuoka,2020-08-12,77.0,0.0,,2561.0,38.0,
33636,Fukuoka,2020-08-13,144.0,0.0,,2705.0,38.0,
33637,Fukuoka,2020-08-14,125.0,1.0,,2830.0,39.0,
33638,Fukuoka,2020-08-15,75.0,0.0,,2905.0,39.0,
