,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
0,Hokkaido,2020-05-09,11.0,,,11.0,48.0,
1,Hokkaido,2020-05-10,9.0,3.0,,20.0,51.0,
2,Hokkaido,2020-05-11,12.0,5.0,,32.0,56.0,
3,Hokkaido,2020-05-12,13.0,6.0,,45.0,62.0,
4,Hokkaido,2020-05-13,4.0,6.0,,49.0,68.0,
5,Hokkaido,2020-05-14,6.0,2.0,,55.0,70.0,
6,Hokkaido,2020-05-15,10.0,2.0,,65.0,72.0,
7,Hokkaido,2020-05-16,7.0,1.0,,72.0,73.0,
8,Hokkaido,2020-05-17,8.0,1.0,,80.0,74.0,
9,Hokkaido,2020-05-18,1.0,1.0,,81.0,75.0,
10,Hokkaido,2020-05-19,3.0,1.0,,84.0,76.0,
11,Hokkaido,2020-05-20,2.0,1.0,,86.0,77.0,
12,Hokkaido,2020-05-21,5.0,0.0,,91.0,77.0,
13,Hokkaido,2020-05-22,6.0,1.0,,97.0,78.0,
14,Hokkaido,2020-05-23,9.0,0.0,,106.0,78.0,
15,Hokkaido,2020-05-24,15.0,1.0,,121.0,79.0,
16,Hokkaido,2020-05-25,3.0,2.0,,124.0,81.0,
17,Hokkaido,2020-05-26,8.0,2.0,,132.0,83.0,
18,Hokkaido,2020-05-27,5.0,1.0,,137.0,84.0,
19,Hokkaido,2020-05-28,7.0,1.0,,144.0,85.0,
20,Hokkaido,2020-05-29,3.0,1.0,,147.0,86.0,
21,Hokkaido,2020-05-30,4.0,0.0,,151.0,86.0,
22,Hokkaido,2020-05-31,6.0,0.0,,157.0,86.0,
23,Hokkaido,2020-06-01,5.0,0.0,,162.0,86.0,
24,Hokkaido,2020-06-02,3.0,1.0,,165.0,87.0,
25,Hokkaido,2020-06-03,3.0,0.0,,168.0,87.0,
26,Hokkaido,2020-06-04,3.0,1.0,,171.0,88.0,
27,Hokkaido,2020-06-05,4.0,2.0,,175.0,90.0,
28,Hokkaido,2020-06-06,8.0,0.0,,183.0,90.0,
29,Hokkaido,2020-06-07,4.0,0.0,,187.0,90.0,
30,Hokkaido,2020-06-08,4.0,0.0,,191.0,90.0,
31,Hokkaido,2020-06-09,7.0,1.0,,198.0,91.0,
32,Hokkaido,2020-06-10,5.0,0.0,,203.0,91.0,
33,Hokkaido,2020-06-11,7.0,0.0,,210.0,91.0,
34,Hokkaido,2020-06-12,10.0,0.0,,220.0,91.0,
35,Hokkaido,2020-06-13,9.0,0.0,,229.0,91.0,
36,Hokkaido,2020-06-14,7.0,0.0,,236.0,91.0,
37,Hokkaido,2020-06-15,6.0,0.0,,242.0,91.0,
38,Hokkaido,2020-06-16,2.0,0.0,,244.0,91.0,
39,Hokkaido,2020-06-17,6.0,1.0,,250.0,92.0,
40,Hokkaido,2020-06-18,5.0,0.0,,255.0,92.0,
41,Hokkaido,2020-06-19,3.0,1.0,,258.0,93.0,
42,Hokkaido,2020-06-20,3.0,1.0,,261.0,94.0,
43,Hokkaido,2020-06-21,2.0,0.0,,263.0,94.0,
44,Hokkaido,2020-06-22,2.0,1.0,,265.0,95.0,
45,Hokkaido,2020-06-23,1.0,0.0,,266.0,95.0,
46,Hokkaido,2020-06-24,10.0,2.0,,276.0,97.0,
47,Hokkaido,2020-06-25,6.0,1.0,,282.0,98.0,
48,Hokkaido,2020-06-26,5.0,0.0,,287.0,98.0,
49,Hokkaido,2020-06-27,1.0,0.0,,288.0,98.0,
50,Hokkaido,2020-06-28,17.0,1.0,,305.0,99.0,
51,Hokkaido,2020-06-29,11.0,0.0,,316.0,99.0,
52,Hokkaido,2020-06-30,13.0,0.0,,329.0,99.0,
53,Hokkaido,2020-07-01,4.0,0.0,,333.0,99.0,
54,Hokkaido,2020-07-02,8.0,1.0,,341.0,100.0,
55,Hokkaido,2020-07-03,0.0,1.0,,341.0,101.0,
56,Hokkaido,2020-07-04,1.0,0.0,,342.0,101.0,
57,Hokkaido,2020-07-05,1.0,0.0,,343.0,101.0,
58,Hokkaido,2020-07-06,0.0,0.0,,343.0,101.0,
59,Hokkaido,2020-07-07,1.0,0.0,,344.0,101.0,
60,Hokkaido,2020-07-08,4.0,0.0,,348.0,101.0,
61,Hokkaido,2020-07-09,1.0,0.0,,349.0,101.0,
62,Hokkaido,2020-07-10,6.0,0.0,,355.0,101.0,
63,Hokkaido,2020-07-11,1.0,0.0,,356.0,101.0,
64,Hokkaido,2020-07-12,4.0,0.0,,360.0,101.0,
65,Hokkaido,2020-07-13,2.0,0.0,,362.0,101.0,
66,Hokkaido,2020-07-14,8.0,1.0,,370.0,102.0,
67,Hokkaido,2020-07-15,13.0,0.0,,383.0,102.0,
68,Hokkaido,2020-07-16,6.0,0.0,,389.0,102.0,
69,Hokkaido,2020-07-17,3.0,0.0,,392.0,102.0,
70,Hokkaido,2020-07-18,13.0,0.0,,405.0,102.0,
71,Hokkaido,2020-07-19,9.0,0.0,,414.0,102.0,
