,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
23220,Hyōgo,2020-05-09,8.0,,,8.0,32.0,
23221,Hyōgo,2020-05-10,4.0,2.0,,12.0,34.0,
23222,Hyōgo,2020-05-11,2.0,0.0,,14.0,34.0,
23223,Hyōgo,2020-05-12,0.0,0.0,,14.0,34.0,
23224,Hyōgo,2020-05-13,3.0,1.0,,17.0,35.0,
23225,Hyōgo,2020-05-14,1.0,2.0,,18.0,37.0,
23226,Hyōgo,2020-05-15,1.0,0.0,,19.0,37.0,
23227,Hyōgo,2020-05-16,1.0,1.0,,20.0,38.0,
23228,Hyōgo,2020-05-17,1.0,0.0,,21.0,38.0,
23229,Hyōgo,2020-05-18,0.0,0.0,,21.0,38.0,
23230,Hyōgo,2020-05-19,0.0,0.0,,21.0,38.0,
23231,Hyōgo,2020-05-20,0.0,0.0,,21.0,38.0,
23232,Hyōgo,2020-05-21,2.0,0.0,,23.0,38.0,
23233,Hyōgo,2020-05-22,0.0,0.0,,23.0,38.0,
23234,Hyōgo,2020-05-23,2.0,2.0,,25.0,40.0,
23235,Hyōgo,2020-05-24,0.0,0.0,,25.0,40.0,
23236,Hyōgo,2020-05-25,0.0,0.0,,25.0,40.0,
23237,Hyōgo,2020-05-26,0.0,0.0,,25.0,40.0,
23238,Hyōgo,2020-05-27,0.0,0.0,,25.0,40.0,
23239,Hyōgo,2020-05-28,0.0,0.0,,25.0,40.0,
23240,Hyōgo,2020-05-29,0.0,1.0,,25.0,41.0,
23241,Hyōgo,2020-05-30,0.0,1.0,,25.0,42.0,
23242,Hyōgo,2020-05-31,0.0,0.0,,25.0,42.0,
23243,Hyōgo,2020-06-01,0.0,0.0,,25.0,42.0,
23244,Hyōgo,2020-06-02,0.0,0.0,,25.0,42.0,
23245,Hyōgo,2020-06-03,0.0,0.0,,25.0,42.0,
23246,Hyōgo,2020-06-04,0.0,0.0,,25.0,42.0,
23247,Hyōgo,2020-06-05,0.0,0.0,,25.0,42.0,
23248,Hyōgo,2020-06-06,0.0,0.0,,25.0,42.0,
23249,Hyōgo,2020-06-07,0.0,0.0,,25.0,42.0,
23250,Hyōgo,2020-06-08,0.0,0.0,,25.0,42.0,
23251,Hyōgo,2020-06-09,0.0,1.0,,25.0,43.0,
23252,Hyōgo,2020-06-10,0.0,0.0,,25.0,43.0,
23253,Hyōgo,2020-06-11,0.0,0.0,,25.0,43.0,
23254,Hyōgo,2020-06-12,0.0,0.0,,25.0,43.0,
23255,Hyōgo,2020-06-13,0.0,0.0,,25.0,43.0,
23256,Hyōgo,2020-06-14,0.0,0.0,,25.0,43.0,
23257,Hyōgo,2020-06-15,0.0,0.0,,25.0,43.0,
23258,Hyōgo,2020-06-16,0.0,0.0,,25.0,43.0,
23259,Hyōgo,2020-06-17,0.0,0.0,,25.0,43.0,
23260,Hyōgo,2020-06-18,0.0,0.0,,25.0,43.0,
23261,Hyōgo,2020-06-19,1.0,0.0,,26.0,43.0,
23262,Hyōgo,2020-06-20,0.0,0.0,,26.0,43.0,
23263,Hyōgo,2020-06-21,2.0,0.0,,28.0,43.0,
23264,Hyōgo,2020-06-22,0.0,0.0,,28.0,43.0,
23265,Hyōgo,2020-06-23,1.0,0.0,,29.0,43.0,
23266,Hyōgo,2020-06-24,1.0,0.0,,30.0,43.0,
23267,Hyōgo,2020-06-25,0.0,0.0,,30.0,43.0,
23268,Hyōgo,2020-06-26,1.0,0.0,,31.0,43.0,
23269,Hyōgo,2020-06-27,0.0,0.0,,31.0,43.0,
23270,Hyōgo,2020-06-28,0.0,0.0,,31.0,43.0,
23271,Hyōgo,2020-06-29,0.0,0.0,,31.0,43.0,
23272,Hyōgo,2020-06-30,1.0,2.0,,32.0,45.0,
23273,Hyōgo,2020-07-01,2.0,0.0,,34.0,45.0,
23274,Hyōgo,2020-07-02,1.0,0.0,,35.0,45.0,
23275,Hyōgo,2020-07-03,0.0,0.0,,35.0,45.0,
23276,Hyōgo,2020-07-04,1.0,0.0,,36.0,45.0,
23277,Hyōgo,2020-07-05,2.0,0.0,,38.0,45.0,
23278,Hyōgo,2020-07-06,4.0,0.0,,42.0,45.0,
23279,Hyōgo,2020-07-07,1.0,0.0,,43.0,45.0,
23280,Hyōgo,2020-07-08,3.0,0.0,,46.0,45.0,
23281,Hyōgo,2020-07-09,2.0,0.0,,48.0,45.0,
23282,Hyōgo,2020-07-10,4.0,0.0,,52.0,45.0,
23283,Hyōgo,2020-07-11,5.0,0.0,,57.0,45.0,
23284,Hyōgo,2020-07-12,6.0,0.0,,63.0,45.0,
23285,Hyōgo,2020-07-13,1.0,0.0,,64.0,45.0,
23286,Hyōgo,2020-07-14,9.0,0.0,,73.0,45.0,
23287,Hyōgo,2020-07-15,12.0,0.0,,85.0,45.0,
23288,Hyōgo,2020-07-16,16.0,0.0,,101.0,45.0,
23289,Hyōgo,2020-07-17,25.0,0.0,,126.0,45.0,
23290,Hyōgo,2020-07-18,13.0,0.0,,139.0,45.0,
23291,Hyōgo,2020-07-19,21.0,0.0,,160.0,45.0,
23292,Hyōgo,2020-07-20,7.0,0.0,,167.0,45.0,
23293,Hyōgo,2020-07-21,12.0,0.0,,179.0,45.0,
23294,Hyōgo,2020-07-22,30.0,0.0,,209.0,45.0,
23295,Hyōgo,2020-07-23,35.0,0.0,,244.0,45.0,
23296,Hyōgo,2020-07-24,23.0,0.0,,267.0,45.0,
23297,Hyōgo,2020-07-25,24.0,0.0,,291.0,45.0,
23298,Hyōgo,2020-07-26,49.0,0.0,,340.0,45.0,
23299,Hyōgo,2020-07-27,12.0,0.0,,352.0,45.0,
23300,Hyōgo,2020-07-28,33.0,0.0,,385.0,45.0,
23301,Hyōgo,2020-07-29,46.0,0.0,,431.0,45.0,
23302,Hyōgo,2020-07-30,53.0,0.0,,484.0,45.0,
23303,Hyōgo,2020-07-31,62.0,0.0,,546.0,45.0,
23304,Hyōgo,2020-08-01,32.0,0.0,,578.0,45.0,
23305,Hyōgo,2020-08-02,60.0,0.0,,638.0,45.0,
23306,Hyōgo,2020-08-03,27.0,0.0,,665.0,45.0,
23307,Hyōgo,2020-08-04,32.0,0.0,,697.0,45.0,
23308,Hyōgo,2020-08-05,52.0,0.0,,749.0,45.0,
23309,Hyōgo,2020-08-06,61.0,1.0,,810.0,46.0,
23310,Hyōgo,2020-08-07,49.0,1.0,,859.0,47.0,
23311,Hyōgo,2020-08-08,55.0,0.0,,914.0,47.0,
23312,Hyōgo,2020-08-09,48.0,0.0,,962.0,47.0,
23313,Hyōgo,2020-08-10,27.0,0.0,,989.0,47.0,
23314,Hyōgo,2020-08-11,30.0,0.0,,1019.0,47.0,
23315,Hyōgo,2020-08-12,36.0,0.0,,1055.0,47.0,
23316,Hyōgo,2020-08-13,48.0,0.0,,1103.0,47.0,
23317,Hyōgo,2020-08-14,34.0,0.0,,1137.0,47.0,
23318,Hyōgo,2020-08-15,53.0,1.0,,1190.0,48.0,
23319,Hyōgo,2020-08-16,37.0,0.0,,1227.0,48.0,
23320,Hyōgo,2020-08-17,24.0,0.0,,1251.0,48.0,
23321,Hyōgo,2020-08-18,25.0,0.0,,1276.0,48.0,
23322,Hyōgo,2020-08-19,49.0,0.0,,1325.0,48.0,
23323,Hyōgo,2020-08-20,34.0,0.0,,1359.0,48.0,
23324,Hyōgo,2020-08-21,39.0,0.0,,1398.0,48.0,
23325,Hyōgo,2020-08-22,33.0,1.0,,1431.0,49.0,
