,data,denominazione_regione,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,totale_positivi,variazione_totale_positivi,nuovi_positivi,deceduti,totale_casi,ingressi_terapia_intensiva
0,2020-02-24T18:00:00,Abruzzo,0,0,0,0,0,0,0,0,
1,2020-02-24T18:00:00,Basilicata,0,0,0,0,0,0,0,0,
2,2020-02-24T18:00:00,Calabria,0,0,0,0,0,0,0,0,
3,2020-02-24T18:00:00,Campania,0,0,0,0,0,0,0,0,
4,2020-02-24T18:00:00,Emilia-Romagna,10,2,12,18,0,18,0,18,
5,2020-02-24T18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,
6,2020-02-24T18:00:00,Lazio,1,1,2,2,0,2,0,3,
7,2020-02-24T18:00:00,Liguria,0,0,0,0,0,0,0,0,
8,2020-02-24T18:00:00,Lombardia,76,19,95,166,0,166,6,172,
9,2020-02-24T18:00:00,Marche,0,0,0,0,0,0,0,0,
10,2020-02-24T18:00:00,Molise,0,0,0,0,0,0,0,0,
11,2020-02-24T18:00:00,P.A. Bolzano,0,0,0,0,0,0,0,0,
12,2020-02-24T18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
13,2020-02-24T18:00:00,Piemonte,2,0,2,3,0,3,0,3,
14,2020-02-24T18:00:00,Puglia,0,0,0,0,0,0,0,0,
15,2020-02-24T18:00:00,Sardegna,0,0,0,0,0,0,0,0,
16,2020-02-24T18:00:00,Sicilia,0,0,0,0,0,0,0,0,
17,2020-02-24T18:00:00,Toscana,0,0,0,0,0,0,0,0,
18,2020-02-24T18:00:00,Umbria,0,0,0,0,0,0,0,0,
19,2020-02-24T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
20,2020-02-24T18:00:00,Veneto,12,4,16,32,0,32,1,33,
21,2020-02-25T18:00:00,Abruzzo,0,0,0,0,0,0,0,0,
22,2020-02-25T18:00:00,Basilicata,0,0,0,0,0,0,0,0,
23,2020-02-25T18:00:00,Calabria,0,0,0,0,0,0,0,0,
24,2020-02-25T18:00:00,Campania,0,0,0,0,0,0,0,0,
25,2020-02-25T18:00:00,Emilia-Romagna,15,2,17,26,8,8,0,26,
26,2020-02-25T18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,
27,2020-02-25T18:00:00,Lazio,1,1,2,2,0,0,0,3,
28,2020-02-25T18:00:00,Liguria,1,0,1,1,1,1,0,1,
29,2020-02-25T18:00:00,Lombardia,79,25,104,231,65,68,9,240,
30,2020-02-25T18:00:00,Marche,0,0,0,0,0,0,0,0,
31,2020-02-25T18:00:00,Molise,0,0,0,0,0,0,0,0,
32,2020-02-25T18:00:00,P.A. Bolzano,1,0,1,1,1,1,0,1,
33,2020-02-25T18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
34,2020-02-25T18:00:00,Piemonte,2,0,2,3,0,0,0,3,
35,2020-02-25T18:00:00,Puglia,0,0,0,0,0,0,0,0,
36,2020-02-25T18:00:00,Sardegna,0,0,0,0,0,0,0,0,
37,2020-02-25T18:00:00,Sicilia,1,0,1,3,3,3,0,3,
38,2020-02-25T18:00:00,Toscana,2,0,2,2,2,2,0,2,
39,2020-02-25T18:00:00,Umbria,0,0,0,0,0,0,0,0,
40,2020-02-25T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
41,2020-02-25T18:00:00,Veneto,12,7,19,42,10,10,1,43,
42,2020-02-26T18:00:00,Abruzzo,0,0,0,0,0,0,0,0,
43,2020-02-26T18:00:00,Basilicata,0,0,0,0,0,0,0,0,
44,2020-02-26T18:00:00,Calabria,0,0,0,0,0,0,0,0,
45,2020-02-26T18:00:00,Campania,0,0,0,0,0,0,0,0,
46,2020-02-26T18:00:00,Emilia-Romagna,20,3,23,46,20,21,1,47,
47,2020-02-26T18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,
48,2020-02-26T18:00:00,Lazio,0,0,0,0,-2,0,0,3,
49,2020-02-26T18:00:00,Liguria,6,0,6,11,10,10,0,11,
50,2020-02-26T18:00:00,Lombardia,79,25,104,249,18,18,9,258,
51,2020-02-26T18:00:00,Marche,1,0,1,1,1,1,0,1,
52,2020-02-26T18:00:00,Molise,0,0,0,0,0,0,0,0,
53,2020-02-26T18:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
54,2020-02-26T18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
55,2020-02-26T18:00:00,Piemonte,2,0,2,3,0,0,0,3,
56,2020-02-26T18:00:00,Puglia,0,0,0,0,0,0,0,0,
57,2020-02-26T18:00:00,Sardegna,0,0,0,0,0,0,0,0,
58,2020-02-26T18:00:00,Sicilia,1,0,1,3,0,0,0,3,
59,2020-02-26T18:00:00,Toscana,2,0,2,2,0,0,0,2,
60,2020-02-26T18:00:00,Umbria,0,0,0,0,0,0,0,0,
61,2020-02-26T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
62,2020-02-26T18:00:00,Veneto,16,8,24,69,27,28,2,71,
63,2020-02-27T18:00:00,Abruzzo,1,0,1,1,1,1,0,1,
64,2020-02-27T18:00:00,Basilicata,0,0,0,0,0,0,0,0,
65,2020-02-27T18:00:00,Calabria,0,0,0,0,0,0,0,0,
66,2020-02-27T18:00:00,Campania,2,0,2,3,3,3,0,3,
67,2020-02-27T18:00:00,Emilia-Romagna,36,6,42,96,50,50,1,97,
68,2020-02-27T18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,
69,2020-02-27T18:00:00,Lazio,0,0,0,0,0,0,0,3,
70,2020-02-27T18:00:00,Liguria,9,0,9,19,8,8,0,19,
71,2020-02-27T18:00:00,Lombardia,172,41,213,349,100,145,14,403,
72,2020-02-27T18:00:00,Marche,2,1,3,3,2,2,0,3,
73,2020-02-27T18:00:00,Molise,0,0,0,0,0,0,0,0,
74,2020-02-27T18:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
75,2020-02-27T18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
76,2020-02-27T18:00:00,Piemonte,2,0,2,2,-1,-1,0,2,
77,2020-02-27T18:00:00,Puglia,1,0,1,1,1,1,0,1,
78,2020-02-27T18:00:00,Sardegna,0,0,0,0,0,0,0,0,
79,2020-02-27T18:00:00,Sicilia,1,0,1,2,-1,1,0,4,
80,2020-02-27T18:00:00,Toscana,2,0,2,2,0,0,0,2,
81,2020-02-27T18:00:00,Umbria,0,0,0,0,0,0,0,0,
82,2020-02-27T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
83,2020-02-27T18:00:00,Veneto,19,8,27,109,40,40,2,111,
84,2020-02-28T18:00:00,Abruzzo,1,0,1,1,0,0,0,1,
85,2020-02-28T18:00:00,Basilicata,0,0,0,0,0,0,0,0,
86,2020-02-28T18:00:00,Calabria,0,0,0,1,1,1,0,1,
87,2020-02-28T18:00:00,Campania,2,0,2,4,1,1,0,4,
88,2020-02-28T18:00:00,Emilia-Romagna,56,6,62,143,47,48,2,145,
89,2020-02-28T18:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,
90,2020-02-28T18:00:00,Lazio,0,0,0,0,0,0,0,3,
91,2020-02-28T18:00:00,Liguria,9,0,9,19,0,0,0,19,
92,2020-02-28T18:00:00,Lombardia,235,47,282,474,125,128,17,531,
93,2020-02-28T18:00:00,Marche,3,2,5,6,3,3,0,6,
94,2020-02-28T18:00:00,Molise,0,0,0,0,0,0,0,0,
95,2020-02-28T18:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
96,2020-02-28T18:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
97,2020-02-28T18:00:00,Piemonte,7,0,7,11,9,9,0,11,
98,2020-02-28T18:00:00,Puglia,1,0,1,3,2,2,0,3,
99,2020-02-28T18:00:00,Sardegna,0,0,0,0,0,0,0,0,
100,2020-02-28T18:00:00,Sicilia,1,0,1,2,0,0,0,4,
101,2020-02-28T18:00:00,Toscana,5,0,5,7,5,6,0,8,
102,2020-02-28T18:00:00,Umbria,0,0,0,0,0,0,0,0,
103,2020-02-28T18:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
104,2020-02-28T18:00:00,Veneto,24,9,33,149,40,40,2,151,
105,2020-02-29T17:00:00,Abruzzo,2,0,2,2,1,1,0,2,
106,2020-02-29T17:00:00,Basilicata,0,0,0,0,0,0,0,0,
107,2020-02-29T17:00:00,Calabria,0,0,0,1,0,0,0,1,
108,2020-02-29T17:00:00,Campania,3,0,3,13,9,9,0,13,
109,2020-02-29T17:00:00,Emilia-Romagna,86,11,97,213,70,72,4,217,
110,2020-02-29T17:00:00,Friuli Venezia Giulia,0,0,0,0,0,0,0,0,
111,2020-02-29T17:00:00,Lazio,3,0,3,3,3,3,0,6,
112,2020-02-29T17:00:00,Liguria,4,1,5,38,19,23,0,42,
113,2020-02-29T17:00:00,Lombardia,256,80,336,552,78,84,23,615,
114,2020-02-29T17:00:00,Marche,6,2,8,11,5,5,0,11,
115,2020-02-29T17:00:00,Molise,0,0,0,0,0,0,0,0,
116,2020-02-29T17:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
117,2020-02-29T17:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
118,2020-02-29T17:00:00,Piemonte,7,0,7,11,0,0,0,11,
119,2020-02-29T17:00:00,Puglia,1,0,1,3,0,0,0,3,
120,2020-02-29T17:00:00,Sardegna,0,0,0,0,0,0,0,0,
121,2020-02-29T17:00:00,Sicilia,1,0,1,2,0,0,0,4,
122,2020-02-29T17:00:00,Toscana,7,0,7,10,3,3,0,11,
123,2020-02-29T17:00:00,Umbria,0,0,0,0,0,0,0,0,
124,2020-02-29T17:00:00,Valle d'Aosta,0,0,0,0,0,0,0,0,
125,2020-02-29T17:00:00,Veneto,24,11,35,189,40,40,2,191,
126,2020-03-01T17:00:00,Abruzzo,3,0,3,5,3,3,0,5,
127,2020-03-01T17:00:00,Basilicata,0,0,0,0,0,0,0,0,
128,2020-03-01T17:00:00,Calabria,0,0,0,1,0,0,0,1,
129,2020-03-01T17:00:00,Campania,4,0,4,17,4,4,0,17,
130,2020-03-01T17:00:00,Emilia-Romagna,127,13,140,277,64,68,8,285,
131,2020-03-01T17:00:00,Friuli Venezia Giulia,0,0,0,6,6,6,0,6,
132,2020-03-01T17:00:00,Lazio,3,0,3,3,0,0,0,6,
133,2020-03-01T17:00:00,Liguria,12,1,13,21,-17,-17,0,25,
134,2020-03-01T17:00:00,Lombardia,406,106,512,887,335,369,24,984,
135,2020-03-01T17:00:00,Marche,12,5,17,25,14,14,0,25,
136,2020-03-01T17:00:00,Molise,0,0,0,0,0,0,0,0,
137,2020-03-01T17:00:00,P.A. Bolzano,1,0,1,1,0,0,0,1,
138,2020-03-01T17:00:00,P.A. Trento,0,0,0,0,0,0,0,0,
139,2020-03-01T17:00:00,Piemonte,11,2,13,49,38,38,0,49,
