,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
11180,Kanagawa,2020-05-09,8.0,,,8.0,47.0,
11181,Kanagawa,2020-05-10,13.0,0.0,,21.0,47.0,
11182,Kanagawa,2020-05-11,7.0,3.0,,28.0,50.0,
11183,Kanagawa,2020-05-12,15.0,7.0,,43.0,57.0,
11184,Kanagawa,2020-05-13,10.0,2.0,,53.0,59.0,
11185,Kanagawa,2020-05-14,32.0,3.0,,85.0,62.0,
11186,Kanagawa,2020-05-15,16.0,1.0,,101.0,63.0,
11187,Kanagawa,2020-05-16,12.0,0.0,,113.0,63.0,
11188,Kanagawa,2020-05-17,5.0,0.0,,118.0,63.0,
11189,Kanagawa,2020-05-18,8.0,1.0,,126.0,64.0,
11190,Kanagawa,2020-05-19,8.0,4.0,,134.0,68.0,
11191,Kanagawa,2020-05-20,18.0,0.0,,152.0,68.0,
11192,Kanagawa,2020-05-21,13.0,1.0,,165.0,69.0,
11193,Kanagawa,2020-05-22,7.0,2.0,,172.0,71.0,
11194,Kanagawa,2020-05-23,5.0,0.0,,177.0,71.0,
11195,Kanagawa,2020-05-24,5.0,0.0,,182.0,71.0,
11196,Kanagawa,2020-05-25,1.0,2.0,,183.0,73.0,
11197,Kanagawa,2020-05-26,3.0,3.0,,186.0,76.0,
11198,Kanagawa,2020-05-27,5.0,2.0,,191.0,78.0,
11199,Kanagawa,2020-05-28,8.0,0.0,,199.0,78.0,
11200,Kanagawa,2020-05-29,10.0,4.0,,209.0,82.0,
11201,Kanagawa,2020-05-30,4.0,0.0,,213.0,82.0,
11202,Kanagawa,2020-05-31,6.0,0.0,,219.0,82.0,
11203,Kanagawa,2020-06-01,1.0,2.0,,220.0,84.0,
11204,Kanagawa,2020-06-02,3.0,2.0,,223.0,86.0,
11205,Kanagawa,2020-06-03,2.0,0.0,,225.0,86.0,
11206,Kanagawa,2020-06-04,6.0,1.0,,231.0,87.0,
11207,Kanagawa,2020-06-05,6.0,0.0,,237.0,87.0,
11208,Kanagawa,2020-06-06,5.0,0.0,,242.0,87.0,
11209,Kanagawa,2020-06-07,5.0,0.0,,247.0,87.0,
11210,Kanagawa,2020-06-08,0.0,0.0,,247.0,87.0,
11211,Kanagawa,2020-06-09,1.0,1.0,,248.0,88.0,
11212,Kanagawa,2020-06-10,0.0,1.0,,248.0,89.0,
11213,Kanagawa,2020-06-11,1.0,0.0,,249.0,89.0,
11214,Kanagawa,2020-06-12,3.0,0.0,,252.0,89.0,
11215,Kanagawa,2020-06-13,6.0,0.0,,258.0,89.0,
11216,Kanagawa,2020-06-14,0.0,0.0,,258.0,89.0,
11217,Kanagawa,2020-06-15,3.0,1.0,,261.0,90.0,
11218,Kanagawa,2020-06-16,2.0,1.0,,263.0,91.0,
11219,Kanagawa,2020-06-17,7.0,2.0,,270.0,93.0,
11220,Kanagawa,2020-06-18,6.0,0.0,,276.0,93.0,
11221,Kanagawa,2020-06-19,2.0,0.0,,278.0,93.0,
11222,Kanagawa,2020-06-20,5.0,0.0,,283.0,93.0,
11223,Kanagawa,2020-06-21,0.0,0.0,,283.0,93.0,
11224,Kanagawa,2020-06-22,0.0,0.0,,283.0,93.0,
11225,Kanagawa,2020-06-23,1.0,1.0,,284.0,94.0,
11226,Kanagawa,2020-06-24,4.0,0.0,,288.0,94.0,
11227,Kanagawa,2020-06-25,6.0,0.0,,294.0,94.0,
11228,Kanagawa,2020-06-26,7.0,2.0,,301.0,96.0,
11229,Kanagawa,2020-06-27,4.0,0.0,,305.0,96.0,
11230,Kanagawa,2020-06-28,9.0,0.0,,314.0,96.0,
11231,Kanagawa,2020-06-29,7.0,0.0,,321.0,96.0,
11232,Kanagawa,2020-06-30,31.0,0.0,,352.0,96.0,
11233,Kanagawa,2020-07-01,6.0,0.0,,358.0,96.0,
11234,Kanagawa,2020-07-02,13.0,0.0,,371.0,96.0,
11235,Kanagawa,2020-07-03,24.0,0.0,,395.0,96.0,
11236,Kanagawa,2020-07-04,20.0,0.0,,415.0,96.0,
11237,Kanagawa,2020-07-05,20.0,0.0,,435.0,96.0,
11238,Kanagawa,2020-07-06,12.0,0.0,,447.0,96.0,
11239,Kanagawa,2020-07-07,8.0,0.0,,455.0,96.0,
11240,Kanagawa,2020-07-08,23.0,0.0,,478.0,96.0,
11241,Kanagawa,2020-07-09,25.0,1.0,,503.0,97.0,
11242,Kanagawa,2020-07-10,32.0,0.0,,535.0,97.0,
11243,Kanagawa,2020-07-11,35.0,0.0,,570.0,97.0,
11244,Kanagawa,2020-07-12,23.0,0.0,,593.0,97.0,
11245,Kanagawa,2020-07-13,16.0,0.0,,609.0,97.0,
11246,Kanagawa,2020-07-14,26.0,1.0,,635.0,98.0,
11247,Kanagawa,2020-07-15,43.0,0.0,,678.0,98.0,
11248,Kanagawa,2020-07-16,47.0,0.0,,725.0,98.0,
11249,Kanagawa,2020-07-17,43.0,0.0,,768.0,98.0,
11250,Kanagawa,2020-07-18,49.0,0.0,,817.0,98.0,
11251,Kanagawa,2020-07-19,30.0,0.0,,847.0,98.0,
11252,Kanagawa,2020-07-20,11.0,0.0,,858.0,98.0,
11253,Kanagawa,2020-07-21,30.0,0.0,,888.0,98.0,
11254,Kanagawa,2020-07-22,68.0,0.0,,956.0,98.0,
11255,Kanagawa,2020-07-23,53.0,0.0,,1009.0,98.0,
11256,Kanagawa,2020-07-24,28.0,0.0,,1037.0,98.0,
11257,Kanagawa,2020-07-25,18.0,0.0,,1055.0,98.0,
11258,Kanagawa,2020-07-26,33.0,0.0,,1088.0,98.0,
11259,Kanagawa,2020-07-27,14.0,0.0,,1102.0,98.0,
11260,Kanagawa,2020-07-28,33.0,0.0,,1135.0,98.0,
11261,Kanagawa,2020-07-29,70.0,0.0,,1205.0,98.0,
11262,Kanagawa,2020-07-30,76.0,1.0,,1281.0,99.0,
11263,Kanagawa,2020-07-31,53.0,0.0,,1334.0,99.0,
11264,Kanagawa,2020-08-01,58.0,0.0,,1392.0,99.0,
11265,Kanagawa,2020-08-02,72.0,0.0,,1464.0,99.0,
11266,Kanagawa,2020-08-03,48.0,0.0,,1512.0,99.0,
11267,Kanagawa,2020-08-04,89.0,0.0,,1601.0,99.0,
11268,Kanagawa,2020-08-05,81.0,0.0,,1682.0,99.0,
11269,Kanagawa,2020-08-06,118.0,1.0,,1800.0,100.0,
