,estado,date,new_deceased,cumulative_deceased
8699,Mendoza,2020-01-04,0.0,0.0
8700,Mendoza,2020-01-17,0.0,0.0
8701,Mendoza,2020-01-20,0.0,0.0
8702,Mendoza,2020-01-30,0.0,0.0
8703,Mendoza,2020-02-17,0.0,0.0
8704,Mendoza,2020-02-20,0.0,0.0
8705,Mendoza,2020-02-24,0.0,0.0
8706,Mendoza,2020-03-04,0.0,0.0
8707,Mendoza,2020-03-05,0.0,0.0
8708,Mendoza,2020-03-06,0.0,0.0
8709,Mendoza,2020-03-07,0.0,0.0
8710,Mendoza,2020-03-08,0.0,0.0
8711,Mendoza,2020-03-09,0.0,0.0
8712,Mendoza,2020-03-10,0.0,0.0
8713,Mendoza,2020-03-11,1.0,1.0
8714,Mendoza,2020-03-12,0.0,1.0
8715,Mendoza,2020-03-13,0.0,1.0
8716,Mendoza,2020-03-15,0.0,1.0
8717,Mendoza,2020-03-16,0.0,1.0
8718,Mendoza,2020-03-17,0.0,1.0
8719,Mendoza,2020-03-18,0.0,1.0
8720,Mendoza,2020-03-19,0.0,1.0
8721,Mendoza,2020-03-20,0.0,1.0
8722,Mendoza,2020-03-21,0.0,1.0
8723,Mendoza,2020-03-22,0.0,1.0
8724,Mendoza,2020-03-23,0.0,1.0
8725,Mendoza,2020-03-24,0.0,1.0
8726,Mendoza,2020-03-25,0.0,1.0
8727,Mendoza,2020-03-26,0.0,1.0
8728,Mendoza,2020-03-27,1.0,2.0
8729,Mendoza,2020-03-28,0.0,2.0
8730,Mendoza,2020-03-29,0.0,2.0
8731,Mendoza,2020-03-30,0.0,2.0
8732,Mendoza,2020-03-31,0.0,2.0
8733,Mendoza,2020-04-01,1.0,3.0
8734,Mendoza,2020-04-02,1.0,4.0
8735,Mendoza,2020-04-03,0.0,4.0
8736,Mendoza,2020-04-04,0.0,4.0
8737,Mendoza,2020-04-05,0.0,4.0
8738,Mendoza,2020-04-06,0.0,4.0
8739,Mendoza,2020-04-07,1.0,5.0
8740,Mendoza,2020-04-08,0.0,5.0
8741,Mendoza,2020-04-09,0.0,5.0
8742,Mendoza,2020-04-10,0.0,5.0
8743,Mendoza,2020-04-11,0.0,5.0
8744,Mendoza,2020-04-12,0.0,5.0
8745,Mendoza,2020-04-13,0.0,5.0
8746,Mendoza,2020-04-14,1.0,6.0
8747,Mendoza,2020-04-15,1.0,7.0
8748,Mendoza,2020-04-16,1.0,8.0
8749,Mendoza,2020-04-17,0.0,8.0
8750,Mendoza,2020-04-18,0.0,8.0
8751,Mendoza,2020-04-19,1.0,9.0
8752,Mendoza,2020-04-20,0.0,9.0
8753,Mendoza,2020-04-21,0.0,9.0
8754,Mendoza,2020-04-22,0.0,9.0
8755,Mendoza,2020-04-23,1.0,10.0
8756,Mendoza,2020-04-24,0.0,10.0
8757,Mendoza,2020-04-25,0.0,10.0
8758,Mendoza,2020-04-26,0.0,10.0
8759,Mendoza,2020-04-27,0.0,10.0
8760,Mendoza,2020-04-28,0.0,10.0
8761,Mendoza,2020-04-29,0.0,10.0
8762,Mendoza,2020-04-30,0.0,10.0
8763,Mendoza,2020-05-01,0.0,10.0
8764,Mendoza,2020-05-02,0.0,10.0
8765,Mendoza,2020-05-03,0.0,10.0
8766,Mendoza,2020-05-04,0.0,10.0
8767,Mendoza,2020-05-05,0.0,10.0
8768,Mendoza,2020-05-06,0.0,10.0
8769,Mendoza,2020-05-07,0.0,10.0
8770,Mendoza,2020-05-08,0.0,10.0
8771,Mendoza,2020-05-09,0.0,10.0
8772,Mendoza,2020-05-10,0.0,10.0
8773,Mendoza,2020-05-11,0.0,10.0
8774,Mendoza,2020-05-12,0.0,10.0
8775,Mendoza,2020-05-13,0.0,10.0
8776,Mendoza,2020-05-14,0.0,10.0
8777,Mendoza,2020-05-15,0.0,10.0
8778,Mendoza,2020-05-16,0.0,10.0
8779,Mendoza,2020-05-17,0.0,10.0
8780,Mendoza,2020-05-18,0.0,10.0
8781,Mendoza,2020-05-19,0.0,10.0
8782,Mendoza,2020-05-20,0.0,10.0
8783,Mendoza,2020-05-21,0.0,10.0
8784,Mendoza,2020-05-22,0.0,10.0
8785,Mendoza,2020-05-23,0.0,10.0
8786,Mendoza,2020-05-24,0.0,10.0
8787,Mendoza,2020-05-25,0.0,10.0
8788,Mendoza,2020-05-26,0.0,10.0
8789,Mendoza,2020-05-27,0.0,10.0
8790,Mendoza,2020-05-28,0.0,10.0
