,estado,date,current_hospitalized_patients,current_intensive_care_patients
5886,Normandy,2020-03-18,45.0,4.0
5887,Normandy,2020-03-19,46.0,6.0
5888,Normandy,2020-03-20,71.0,13.0
5889,Normandy,2020-03-21,92.0,21.0
5890,Normandy,2020-03-22,118.0,25.0
5891,Normandy,2020-03-23,148.0,33.0
5892,Normandy,2020-03-24,170.0,40.0
5893,Normandy,2020-03-25,225.0,56.0
5894,Normandy,2020-03-26,273.0,75.0
5895,Normandy,2020-03-27,313.0,93.0
5896,Normandy,2020-03-28,385.0,111.0
5897,Normandy,2020-03-29,455.0,122.0
5898,Normandy,2020-03-30,479.0,137.0
5899,Normandy,2020-03-31,535.0,161.0
5900,Normandy,2020-04-01,563.0,164.0
5901,Normandy,2020-04-02,630.0,185.0
5902,Normandy,2020-04-03,650.0,197.0
5903,Normandy,2020-04-04,677.0,209.0
5904,Normandy,2020-04-05,710.0,217.0
5905,Normandy,2020-04-06,712.0,223.0
5906,Normandy,2020-04-07,713.0,225.0
5907,Normandy,2020-04-08,680.0,213.0
5908,Normandy,2020-04-09,697.0,212.0
5909,Normandy,2020-04-10,741.0,210.0
5910,Normandy,2020-04-11,726.0,202.0
5911,Normandy,2020-04-12,716.0,186.0
5912,Normandy,2020-04-13,713.0,189.0
5913,Normandy,2020-04-14,705.0,177.0
5914,Normandy,2020-04-15,686.0,167.0
5915,Normandy,2020-04-16,674.0,166.0
5916,Normandy,2020-04-17,660.0,152.0
5917,Normandy,2020-04-18,657.0,146.0
5918,Normandy,2020-04-19,666.0,149.0
5919,Normandy,2020-04-20,663.0,143.0
5920,Normandy,2020-04-21,650.0,137.0
5921,Normandy,2020-04-22,625.0,133.0
5922,Normandy,2020-04-23,614.0,131.0
5923,Normandy,2020-04-24,612.0,121.0
5924,Normandy,2020-04-25,615.0,116.0
5925,Normandy,2020-04-26,608.0,116.0
5926,Normandy,2020-04-27,601.0,112.0
5927,Normandy,2020-04-28,600.0,112.0
5928,Normandy,2020-04-29,582.0,98.0
5929,Normandy,2020-04-30,587.0,95.0
5930,Normandy,2020-05-01,575.0,90.0
5931,Normandy,2020-05-02,574.0,87.0
5932,Normandy,2020-05-03,575.0,86.0
5933,Normandy,2020-05-04,577.0,81.0
5934,Normandy,2020-05-05,578.0,78.0
5935,Normandy,2020-05-06,562.0,67.0
5936,Normandy,2020-05-07,553.0,60.0
5937,Normandy,2020-05-08,526.0,59.0
5938,Normandy,2020-05-09,529.0,58.0
5939,Normandy,2020-05-10,530.0,58.0
5940,Normandy,2020-05-11,530.0,52.0
5941,Normandy,2020-05-12,520.0,43.0
5942,Normandy,2020-05-13,511.0,43.0
5943,Normandy,2020-05-14,496.0,43.0
5944,Normandy,2020-05-15,483.0,41.0
5945,Normandy,2020-05-16,464.0,36.0
5946,Normandy,2020-05-17,470.0,36.0
5947,Normandy,2020-05-18,466.0,36.0
5948,Normandy,2020-05-19,464.0,35.0
5949,Normandy,2020-05-20,452.0,34.0
5950,Normandy,2020-05-21,436.0,31.0
5951,Normandy,2020-05-22,435.0,33.0
5952,Normandy,2020-05-23,429.0,31.0
5953,Normandy,2020-05-24,435.0,31.0
5954,Normandy,2020-05-25,433.0,27.0
5955,Normandy,2020-05-26,419.0,25.0
5956,Normandy,2020-05-27,377.0,22.0
5957,Normandy,2020-05-28,355.0,20.0
5958,Normandy,2020-05-29,339.0,19.0
5959,Normandy,2020-05-30,334.0,19.0
5960,Normandy,2020-05-31,334.0,20.0
5961,Normandy,2020-06-01,335.0,20.0
5962,Normandy,2020-06-02,329.0,21.0
5963,Normandy,2020-06-03,318.0,19.0
5964,Normandy,2020-06-04,310.0,19.0
5965,Normandy,2020-06-05,308.0,16.0
5966,Normandy,2020-06-06,306.0,14.0
5967,Normandy,2020-06-07,303.0,14.0
5968,Normandy,2020-06-08,301.0,14.0
5969,Normandy,2020-06-09,290.0,14.0
5970,Normandy,2020-06-10,285.0,14.0
5971,Normandy,2020-06-11,283.0,14.0
5972,Normandy,2020-06-12,274.0,13.0
5973,Normandy,2020-06-13,271.0,13.0
5974,Normandy,2020-06-14,270.0,13.0
5975,Normandy,2020-06-15,270.0,13.0
5976,Normandy,2020-06-16,272.0,13.0
5977,Normandy,2020-06-17,265.0,13.0
5978,Normandy,2020-06-18,258.0,13.0
5979,Normandy,2020-06-19,258.0,13.0
5980,Normandy,2020-06-20,251.0,13.0
5981,Normandy,2020-06-21,250.0,13.0
5982,Normandy,2020-06-22,245.0,10.0
5983,Normandy,2020-06-23,242.0,10.0
5984,Normandy,2020-06-24,238.0,10.0
5985,Normandy,2020-06-25,237.0,10.0
5986,Normandy,2020-06-26,233.0,8.0
5987,Normandy,2020-06-27,227.0,8.0
5988,Normandy,2020-06-28,225.0,8.0
5989,Normandy,2020-06-29,226.0,8.0
5990,Normandy,2020-06-30,220.0,7.0
5991,Normandy,2020-07-01,216.0,6.0
5992,Normandy,2020-07-02,221.0,7.0
5993,Normandy,2020-07-03,219.0,7.0
5994,Normandy,2020-07-04,217.0,7.0
5995,Normandy,2020-07-05,217.0,7.0
5996,Normandy,2020-07-06,214.0,7.0
5997,Normandy,2020-07-07,215.0,7.0
5998,Normandy,2020-07-08,211.0,8.0
5999,Normandy,2020-07-09,212.0,8.0
6000,Normandy,2020-07-10,212.0,8.0
6001,Normandy,2020-07-11,209.0,8.0
6002,Normandy,2020-07-12,209.0,7.0
6003,Normandy,2020-07-13,206.0,7.0
6004,Normandy,2020-07-14,204.0,7.0
6005,Normandy,2020-07-15,201.0,5.0
6006,Normandy,2020-07-16,193.0,5.0
6007,Normandy,2020-07-17,190.0,6.0
6008,Normandy,2020-07-18,190.0,7.0
6009,Normandy,2020-07-19,190.0,7.0
6010,Normandy,2020-07-20,189.0,7.0
6011,Normandy,2020-07-21,186.0,7.0
6012,Normandy,2020-07-22,186.0,7.0
6013,Normandy,2020-07-23,154.0,8.0
6014,Normandy,2020-07-24,149.0,7.0
6015,Normandy,2020-07-25,148.0,8.0
6016,Normandy,2020-07-26,148.0,8.0
6017,Normandy,2020-07-27,149.0,8.0
6018,Normandy,2020-07-28,147.0,7.0
6019,Normandy,2020-07-29,144.0,7.0
6020,Normandy,2020-07-30,141.0,7.0
6021,Normandy,2020-07-31,141.0,7.0
6022,Normandy,2020-08-01,141.0,7.0
6023,Normandy,2020-08-02,141.0,7.0
6024,Normandy,2020-08-03,136.0,5.0
6025,Normandy,2020-08-04,128.0,4.0
6026,Normandy,2020-08-05,124.0,4.0
6027,Normandy,2020-08-06,126.0,4.0
6028,Normandy,2020-08-07,126.0,4.0
6029,Normandy,2020-08-08,128.0,4.0
6030,Normandy,2020-08-09,128.0,4.0
6031,Normandy,2020-08-10,127.0,4.0
6032,Normandy,2020-08-11,130.0,5.0
6033,Normandy,2020-08-12,126.0,4.0
