,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
22360,Osaka,2020-05-09,16.0,,,16.0,59.0,
22361,Osaka,2020-05-10,11.0,0.0,,27.0,59.0,
22362,Osaka,2020-05-11,1.0,2.0,,28.0,61.0,
22363,Osaka,2020-05-12,10.0,0.0,,38.0,61.0,
22364,Osaka,2020-05-13,12.0,1.0,,50.0,62.0,
22365,Osaka,2020-05-14,3.0,1.0,,53.0,63.0,
22366,Osaka,2020-05-15,4.0,3.0,,57.0,66.0,
22367,Osaka,2020-05-16,4.0,4.0,,61.0,70.0,
22368,Osaka,2020-05-17,0.0,0.0,,61.0,70.0,
22369,Osaka,2020-05-18,2.0,0.0,,63.0,70.0,
22370,Osaka,2020-05-19,6.0,0.0,,69.0,70.0,
22371,Osaka,2020-05-20,3.0,1.0,,72.0,71.0,
22372,Osaka,2020-05-21,4.0,5.0,,76.0,76.0,
22373,Osaka,2020-05-22,4.0,0.0,,80.0,76.0,
22374,Osaka,2020-05-23,1.0,2.0,,81.0,78.0,
22375,Osaka,2020-05-24,0.0,0.0,,81.0,78.0,
22376,Osaka,2020-05-25,0.0,0.0,,81.0,78.0,
22377,Osaka,2020-05-26,1.0,2.0,,82.0,80.0,
22378,Osaka,2020-05-27,4.0,0.0,,86.0,80.0,
22379,Osaka,2020-05-28,0.0,2.0,,86.0,82.0,
22380,Osaka,2020-05-29,1.0,0.0,,87.0,82.0,
22381,Osaka,2020-05-30,2.0,1.0,,89.0,83.0,
22382,Osaka,2020-05-31,1.0,0.0,,90.0,83.0,
22383,Osaka,2020-06-01,0.0,0.0,,90.0,83.0,
22384,Osaka,2020-06-02,1.0,1.0,,91.0,84.0,
22385,Osaka,2020-06-03,0.0,0.0,,91.0,84.0,
22386,Osaka,2020-06-04,0.0,0.0,,91.0,84.0,
22387,Osaka,2020-06-05,0.0,0.0,,91.0,84.0,
22388,Osaka,2020-06-06,1.0,0.0,,92.0,84.0,
22389,Osaka,2020-06-07,1.0,0.0,,93.0,84.0,
22390,Osaka,2020-06-08,0.0,0.0,,93.0,84.0,
22391,Osaka,2020-06-09,0.0,0.0,,93.0,84.0,
22392,Osaka,2020-06-10,0.0,0.0,,93.0,84.0,
22393,Osaka,2020-06-11,1.0,1.0,,94.0,85.0,
22394,Osaka,2020-06-12,1.0,0.0,,95.0,85.0,
22395,Osaka,2020-06-13,0.0,0.0,,95.0,85.0,
22396,Osaka,2020-06-14,2.0,0.0,,97.0,85.0,
22397,Osaka,2020-06-15,0.0,0.0,,97.0,85.0,
22398,Osaka,2020-06-16,3.0,1.0,,100.0,86.0,
22399,Osaka,2020-06-17,4.0,0.0,,104.0,86.0,
22400,Osaka,2020-06-18,4.0,0.0,,108.0,86.0,
22401,Osaka,2020-06-19,2.0,0.0,,110.0,86.0,
22402,Osaka,2020-06-20,6.0,0.0,,116.0,86.0,
