,cidade,date,new_hospitalized_patients,cumulative_hospitalized_patients
259385,Rosario,1969-12-31,0.0,0.0
259386,Rosario,2020-01-01,0.0,0.0
259387,Rosario,2020-01-05,0.0,0.0
259388,Rosario,2020-01-07,0.0,0.0
259389,Rosario,2020-02-10,0.0,0.0
259390,Rosario,2020-03-02,1.0,1.0
259391,Rosario,2020-03-08,2.0,3.0
259392,Rosario,2020-03-09,1.0,4.0
259393,Rosario,2020-03-10,1.0,5.0
259394,Rosario,2020-03-11,3.0,8.0
259395,Rosario,2020-03-12,2.0,10.0
259396,Rosario,2020-03-13,1.0,11.0
259397,Rosario,2020-03-15,1.0,12.0
259398,Rosario,2020-03-16,1.0,13.0
259399,Rosario,2020-03-17,2.0,15.0
259400,Rosario,2020-03-18,7.0,22.0
259401,Rosario,2020-03-19,2.0,24.0
259402,Rosario,2020-03-20,8.0,32.0
259403,Rosario,2020-03-21,1.0,33.0
259404,Rosario,2020-03-22,4.0,37.0
259405,Rosario,2020-03-23,5.0,42.0
259406,Rosario,2020-03-24,4.0,46.0
259407,Rosario,2020-03-25,3.0,49.0
259408,Rosario,2020-03-26,5.0,54.0
259409,Rosario,2020-03-27,7.0,61.0
259410,Rosario,2020-03-28,9.0,70.0
259411,Rosario,2020-03-29,6.0,76.0
259412,Rosario,2020-03-30,16.0,92.0
259413,Rosario,2020-03-31,13.0,105.0
259414,Rosario,2020-04-01,13.0,118.0
259415,Rosario,2020-04-02,13.0,131.0
259416,Rosario,2020-04-03,16.0,147.0
259417,Rosario,2020-04-04,5.0,152.0
259418,Rosario,2020-04-05,9.0,161.0
259419,Rosario,2020-04-06,8.0,169.0
259420,Rosario,2020-04-07,15.0,184.0
259421,Rosario,2020-04-08,7.0,191.0
259422,Rosario,2020-04-09,12.0,203.0
259423,Rosario,2020-04-10,11.0,214.0
259424,Rosario,2020-04-11,9.0,223.0
259425,Rosario,2020-04-12,8.0,231.0
259426,Rosario,2020-04-13,13.0,244.0
259427,Rosario,2020-04-14,6.0,250.0
259428,Rosario,2020-04-15,11.0,261.0
259429,Rosario,2020-04-16,11.0,272.0
259430,Rosario,2020-04-17,12.0,284.0
259431,Rosario,2020-04-18,17.0,301.0
259432,Rosario,2020-04-19,17.0,318.0
259433,Rosario,2020-04-20,40.0,358.0
259434,Rosario,2020-04-21,29.0,387.0
259435,Rosario,2020-04-22,24.0,411.0
259436,Rosario,2020-04-23,23.0,434.0
259437,Rosario,2020-04-24,16.0,450.0
259438,Rosario,2020-04-25,14.0,464.0
259439,Rosario,2020-04-26,11.0,475.0
259440,Rosario,2020-04-27,20.0,495.0
259441,Rosario,2020-04-28,13.0,508.0
259442,Rosario,2020-04-29,14.0,522.0
259443,Rosario,2020-04-30,9.0,531.0
259444,Rosario,2020-05-01,12.0,543.0
259445,Rosario,2020-05-02,12.0,555.0
259446,Rosario,2020-05-03,10.0,565.0
259447,Rosario,2020-05-04,13.0,578.0
259448,Rosario,2020-05-05,8.0,586.0
259449,Rosario,2020-05-06,9.0,595.0
259450,Rosario,2020-05-07,15.0,610.0
259451,Rosario,2020-05-08,13.0,623.0
259452,Rosario,2020-05-09,7.0,630.0
259453,Rosario,2020-05-10,12.0,642.0
259454,Rosario,2020-05-11,23.0,665.0
259455,Rosario,2020-05-12,13.0,678.0
259456,Rosario,2020-05-13,26.0,704.0
259457,Rosario,2020-05-14,14.0,718.0
259458,Rosario,2020-05-15,11.0,729.0
259459,Rosario,2020-05-16,18.0,747.0
259460,Rosario,2020-05-17,13.0,760.0
259461,Rosario,2020-05-18,22.0,782.0
259462,Rosario,2020-05-19,13.0,795.0
259463,Rosario,2020-05-20,22.0,817.0
259464,Rosario,2020-05-21,17.0,834.0
259465,Rosario,2020-05-22,10.0,844.0
259466,Rosario,2020-05-23,7.0,851.0
259467,Rosario,2020-05-24,4.0,855.0
259468,Rosario,2020-05-25,14.0,869.0
259469,Rosario,2020-05-26,16.0,885.0
259470,Rosario,2020-05-27,11.0,896.0
259471,Rosario,2020-05-28,9.0,905.0
259472,Rosario,2020-05-29,10.0,915.0
259473,Rosario,2020-05-30,3.0,918.0
259474,Rosario,2020-05-31,14.0,932.0
259475,Rosario,2020-06-01,23.0,955.0
259476,Rosario,2020-06-02,19.0,974.0
259477,Rosario,2020-06-03,15.0,989.0
259478,Rosario,2020-06-04,13.0,1002.0
259479,Rosario,2020-06-05,12.0,1014.0
259480,Rosario,2020-06-06,6.0,1020.0
259481,Rosario,2020-06-07,15.0,1035.0
259482,Rosario,2020-06-08,15.0,1050.0
259483,Rosario,2020-06-09,9.0,1059.0
259484,Rosario,2020-06-10,16.0,1075.0
259485,Rosario,2020-06-11,15.0,1090.0
259486,Rosario,2020-06-12,12.0,1102.0
259487,Rosario,2020-06-13,11.0,1113.0
259488,Rosario,2020-06-14,7.0,1120.0
259489,Rosario,2020-06-15,12.0,1132.0
259490,Rosario,2020-06-16,15.0,1147.0
259491,Rosario,2020-06-17,10.0,1157.0
259492,Rosario,2020-06-18,12.0,1169.0
259493,Rosario,2020-06-19,10.0,1179.0
259494,Rosario,2020-06-20,9.0,1188.0
259495,Rosario,2020-06-21,11.0,1199.0
259496,Rosario,2020-06-22,8.0,1207.0
259497,Rosario,2020-06-23,6.0,1213.0
259498,Rosario,2020-06-24,11.0,1224.0
259499,Rosario,2020-06-25,12.0,1236.0
259500,Rosario,2020-06-26,7.0,1243.0
259501,Rosario,2020-06-27,8.0,1251.0
259502,Rosario,2020-06-28,14.0,1265.0
259503,Rosario,2020-06-29,10.0,1275.0
259504,Rosario,2020-06-30,14.0,1289.0
259505,Rosario,2020-07-01,18.0,1307.0
259506,Rosario,2020-07-02,6.0,1313.0
259507,Rosario,2020-07-03,15.0,1328.0
259508,Rosario,2020-07-04,9.0,1337.0
259509,Rosario,2020-07-05,14.0,1351.0
259510,Rosario,2020-07-06,17.0,1368.0
259511,Rosario,2020-07-07,8.0,1376.0
259512,Rosario,2020-07-08,14.0,1390.0
259513,Rosario,2020-07-09,13.0,1403.0
259514,Rosario,2020-07-10,6.0,1409.0
259515,Rosario,2020-07-11,6.0,1415.0
259516,Rosario,2020-07-12,14.0,1429.0
259517,Rosario,2020-07-13,22.0,1451.0
259518,Rosario,2020-07-14,17.0,1468.0
259519,Rosario,2020-07-15,15.0,1483.0
259520,Rosario,2020-07-16,8.0,1491.0
259521,Rosario,2020-07-17,16.0,1507.0
