,cidade,date,new_deceased,cumulative_deceased
259323,Rosario,2020-01-01,0.0,0.0
259324,Rosario,2020-01-05,0.0,0.0
259325,Rosario,2020-01-07,0.0,0.0
259326,Rosario,2020-02-10,0.0,0.0
259327,Rosario,2020-03-02,0.0,0.0
259328,Rosario,2020-03-08,0.0,0.0
259329,Rosario,2020-03-09,0.0,0.0
259330,Rosario,2020-03-10,0.0,0.0
259331,Rosario,2020-03-11,0.0,0.0
259332,Rosario,2020-03-12,0.0,0.0
259333,Rosario,2020-03-13,0.0,0.0
259334,Rosario,2020-03-15,0.0,0.0
259335,Rosario,2020-03-16,0.0,0.0
259336,Rosario,2020-03-17,0.0,0.0
259337,Rosario,2020-03-18,0.0,0.0
259338,Rosario,2020-03-19,0.0,0.0
259339,Rosario,2020-03-20,0.0,0.0
259340,Rosario,2020-03-21,0.0,0.0
259341,Rosario,2020-03-22,0.0,0.0
259342,Rosario,2020-03-23,0.0,0.0
259343,Rosario,2020-03-24,0.0,0.0
259344,Rosario,2020-03-25,0.0,0.0
259345,Rosario,2020-03-26,0.0,0.0
259346,Rosario,2020-03-27,0.0,0.0
259347,Rosario,2020-03-28,0.0,0.0
259348,Rosario,2020-03-29,0.0,0.0
259349,Rosario,2020-03-30,0.0,0.0
259350,Rosario,2020-03-31,0.0,0.0
259351,Rosario,2020-04-01,1.0,1.0
259352,Rosario,2020-04-02,0.0,1.0
259353,Rosario,2020-04-03,0.0,1.0
259354,Rosario,2020-04-04,0.0,1.0
259355,Rosario,2020-04-05,0.0,1.0
259356,Rosario,2020-04-06,0.0,1.0
259357,Rosario,2020-04-07,0.0,1.0
259358,Rosario,2020-04-08,0.0,1.0
259359,Rosario,2020-04-09,0.0,1.0
259360,Rosario,2020-04-10,0.0,1.0
259361,Rosario,2020-04-11,0.0,1.0
259362,Rosario,2020-04-12,0.0,1.0
259363,Rosario,2020-04-13,0.0,1.0
259364,Rosario,2020-04-14,0.0,1.0
259365,Rosario,2020-04-15,0.0,1.0
259366,Rosario,2020-04-16,0.0,1.0
259367,Rosario,2020-04-17,0.0,1.0
259368,Rosario,2020-04-18,0.0,1.0
259369,Rosario,2020-04-19,0.0,1.0
259370,Rosario,2020-04-20,0.0,1.0
