,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
8600,Saitama,2020-05-09,9.0,,,9.0,41.0,
8601,Saitama,2020-05-10,5.0,1.0,,14.0,42.0,
8602,Saitama,2020-05-11,14.0,0.0,,28.0,42.0,
8603,Saitama,2020-05-12,1.0,1.0,,29.0,43.0,
8604,Saitama,2020-05-13,3.0,1.0,,32.0,44.0,
8605,Saitama,2020-05-14,4.0,1.0,,36.0,45.0,
8606,Saitama,2020-05-15,3.0,0.0,,39.0,45.0,
8607,Saitama,2020-05-16,4.0,1.0,,43.0,46.0,
8608,Saitama,2020-05-17,5.0,0.0,,48.0,46.0,
8609,Saitama,2020-05-18,2.0,0.0,,50.0,46.0,
8610,Saitama,2020-05-19,2.0,0.0,,52.0,46.0,
8611,Saitama,2020-05-20,5.0,0.0,,57.0,46.0,
8612,Saitama,2020-05-21,1.0,0.0,,58.0,46.0,
8613,Saitama,2020-05-22,2.0,0.0,,60.0,46.0,
8614,Saitama,2020-05-23,1.0,0.0,,61.0,46.0,
8615,Saitama,2020-05-24,0.0,0.0,,61.0,46.0,
8616,Saitama,2020-05-25,1.0,1.0,,62.0,47.0,
8617,Saitama,2020-05-26,1.0,0.0,,63.0,47.0,
8618,Saitama,2020-05-27,0.0,0.0,,63.0,47.0,
8619,Saitama,2020-05-28,3.0,0.0,,66.0,47.0,
8620,Saitama,2020-05-29,1.0,1.0,,67.0,48.0,
8621,Saitama,2020-05-30,3.0,0.0,,70.0,48.0,
8622,Saitama,2020-05-31,1.0,0.0,,71.0,48.0,
8623,Saitama,2020-06-01,0.0,0.0,,71.0,48.0,
8624,Saitama,2020-06-02,0.0,0.0,,71.0,48.0,
8625,Saitama,2020-06-03,2.0,1.0,,73.0,49.0,
8626,Saitama,2020-06-04,1.0,1.0,,74.0,50.0,
8627,Saitama,2020-06-05,1.0,1.0,,75.0,51.0,
8628,Saitama,2020-06-06,1.0,0.0,,76.0,51.0,
8629,Saitama,2020-06-07,0.0,0.0,,76.0,51.0,
8630,Saitama,2020-06-08,1.0,0.0,,77.0,51.0,
8631,Saitama,2020-06-09,1.0,0.0,,78.0,51.0,
8632,Saitama,2020-06-10,6.0,0.0,,84.0,51.0,
8633,Saitama,2020-06-11,3.0,0.0,,87.0,51.0,
8634,Saitama,2020-06-12,2.0,0.0,,89.0,51.0,
8635,Saitama,2020-06-13,0.0,0.0,,89.0,51.0,
8636,Saitama,2020-06-14,2.0,0.0,,91.0,51.0,
8637,Saitama,2020-06-15,0.0,1.0,,91.0,52.0,
8638,Saitama,2020-06-16,1.0,0.0,,92.0,52.0,
8639,Saitama,2020-06-17,1.0,0.0,,93.0,52.0,
8640,Saitama,2020-06-18,2.0,0.0,,95.0,52.0,
8641,Saitama,2020-06-19,1.0,13.0,,96.0,65.0,
8642,Saitama,2020-06-20,5.0,0.0,,101.0,65.0,
8643,Saitama,2020-06-21,7.0,0.0,,108.0,65.0,
8644,Saitama,2020-06-22,4.0,0.0,,112.0,65.0,
8645,Saitama,2020-06-23,12.0,0.0,,124.0,65.0,
8646,Saitama,2020-06-24,9.0,0.0,,133.0,65.0,
8647,Saitama,2020-06-25,11.0,0.0,,144.0,65.0,
8648,Saitama,2020-06-26,16.0,0.0,,160.0,65.0,
8649,Saitama,2020-06-27,11.0,0.0,,171.0,65.0,
8650,Saitama,2020-06-28,8.0,0.0,,179.0,65.0,
8651,Saitama,2020-06-29,13.0,0.0,,192.0,65.0,
8652,Saitama,2020-06-30,10.0,0.0,,202.0,65.0,
8653,Saitama,2020-07-01,14.0,0.0,,216.0,65.0,
8654,Saitama,2020-07-02,19.0,0.0,,235.0,65.0,
8655,Saitama,2020-07-03,26.0,0.0,,261.0,65.0,
8656,Saitama,2020-07-04,27.0,0.0,,288.0,65.0,
8657,Saitama,2020-07-05,21.0,0.0,,309.0,65.0,
8658,Saitama,2020-07-06,16.0,1.0,,325.0,66.0,
8659,Saitama,2020-07-07,27.0,1.0,,352.0,67.0,
8660,Saitama,2020-07-08,48.0,0.0,,400.0,67.0,
8661,Saitama,2020-07-09,22.0,0.0,,422.0,67.0,
8662,Saitama,2020-07-10,44.0,0.0,,466.0,67.0,
8663,Saitama,2020-07-11,36.0,0.0,,502.0,67.0,
8664,Saitama,2020-07-12,32.0,0.0,,534.0,67.0,
8665,Saitama,2020-07-13,26.0,0.0,,560.0,67.0,
8666,Saitama,2020-07-14,42.0,0.0,,602.0,67.0,
8667,Saitama,2020-07-15,38.0,0.0,,640.0,67.0,
8668,Saitama,2020-07-16,49.0,0.0,,689.0,67.0,
8669,Saitama,2020-07-17,51.0,0.0,,740.0,67.0,
8670,Saitama,2020-07-18,48.0,0.0,,788.0,67.0,
8671,Saitama,2020-07-19,38.0,0.0,,826.0,67.0,
8672,Saitama,2020-07-20,28.0,2.0,,854.0,69.0,
8673,Saitama,2020-07-21,47.0,1.0,,901.0,70.0,
8674,Saitama,2020-07-22,62.0,0.0,,963.0,70.0,
8675,Saitama,2020-07-23,64.0,1.0,,1027.0,71.0,
8676,Saitama,2020-07-24,45.0,0.0,,1072.0,71.0,
8677,Saitama,2020-07-25,35.0,1.0,,1107.0,72.0,
8678,Saitama,2020-07-26,33.0,0.0,,1140.0,72.0,
8679,Saitama,2020-07-27,23.0,0.0,,1163.0,72.0,
8680,Saitama,2020-07-28,55.0,0.0,,1218.0,72.0,
8681,Saitama,2020-07-29,54.0,1.0,,1272.0,73.0,
8682,Saitama,2020-07-30,57.0,0.0,,1329.0,73.0,
8683,Saitama,2020-07-31,57.0,1.0,,1386.0,74.0,
8684,Saitama,2020-08-01,75.0,0.0,,1461.0,74.0,
8685,Saitama,2020-08-02,74.0,0.0,,1535.0,74.0,
8686,Saitama,2020-08-03,49.0,0.0,,1584.0,74.0,
8687,Saitama,2020-08-04,49.0,2.0,,1633.0,76.0,
8688,Saitama,2020-08-05,64.0,1.0,,1697.0,77.0,
8689,Saitama,2020-08-06,65.0,2.0,,1762.0,79.0,
8690,Saitama,2020-08-07,50.0,0.0,,1812.0,79.0,
8691,Saitama,2020-08-08,84.0,0.0,,1896.0,79.0,
8692,Saitama,2020-08-09,56.0,0.0,,1952.0,79.0,
8693,Saitama,2020-08-10,42.0,0.0,,1994.0,79.0,
8694,Saitama,2020-08-11,36.0,0.0,,2030.0,79.0,
8695,Saitama,2020-08-12,45.0,1.0,,2075.0,80.0,
8696,Saitama,2020-08-13,56.0,0.0,,2131.0,80.0,
8697,Saitama,2020-08-14,56.0,0.0,,2187.0,80.0,
8698,Saitama,2020-08-15,52.0,2.0,,2239.0,82.0,
8699,Saitama,2020-08-16,56.0,0.0,,2295.0,82.0,
