,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
18060,Shizuoka,2020-05-09,0.0,,,0.0,1.0,
18061,Shizuoka,2020-05-10,0.0,0.0,,0.0,1.0,
18062,Shizuoka,2020-05-11,0.0,0.0,,0.0,1.0,
18063,Shizuoka,2020-05-12,0.0,0.0,,0.0,1.0,
18064,Shizuoka,2020-05-13,0.0,0.0,,0.0,1.0,
18065,Shizuoka,2020-05-14,0.0,0.0,,0.0,1.0,
18066,Shizuoka,2020-05-15,0.0,0.0,,0.0,1.0,
18067,Shizuoka,2020-05-16,0.0,0.0,,0.0,1.0,
18068,Shizuoka,2020-05-17,0.0,0.0,,0.0,1.0,
18069,Shizuoka,2020-05-18,0.0,0.0,,0.0,1.0,
18070,Shizuoka,2020-05-19,0.0,0.0,,0.0,1.0,
18071,Shizuoka,2020-05-20,0.0,0.0,,0.0,1.0,
18072,Shizuoka,2020-05-21,1.0,0.0,,1.0,1.0,
18073,Shizuoka,2020-05-22,0.0,0.0,,1.0,1.0,
18074,Shizuoka,2020-05-23,0.0,0.0,,1.0,1.0,
18075,Shizuoka,2020-05-24,1.0,0.0,,2.0,1.0,
18076,Shizuoka,2020-05-25,0.0,0.0,,2.0,1.0,
18077,Shizuoka,2020-05-26,0.0,0.0,,2.0,1.0,
18078,Shizuoka,2020-05-27,0.0,0.0,,2.0,1.0,
18079,Shizuoka,2020-05-28,1.0,0.0,,3.0,1.0,
18080,Shizuoka,2020-05-29,0.0,0.0,,3.0,1.0,
18081,Shizuoka,2020-05-30,0.0,0.0,,3.0,1.0,
18082,Shizuoka,2020-05-31,0.0,0.0,,3.0,1.0,
18083,Shizuoka,2020-06-01,0.0,0.0,,3.0,1.0,
18084,Shizuoka,2020-06-02,0.0,0.0,,3.0,1.0,
18085,Shizuoka,2020-06-03,0.0,0.0,,3.0,1.0,
18086,Shizuoka,2020-06-04,0.0,0.0,,3.0,1.0,
18087,Shizuoka,2020-06-05,0.0,0.0,,3.0,1.0,
18088,Shizuoka,2020-06-06,0.0,0.0,,3.0,1.0,
18089,Shizuoka,2020-06-07,0.0,0.0,,3.0,1.0,
18090,Shizuoka,2020-06-08,0.0,0.0,,3.0,1.0,
18091,Shizuoka,2020-06-09,0.0,0.0,,3.0,1.0,
18092,Shizuoka,2020-06-10,1.0,0.0,,4.0,1.0,
18093,Shizuoka,2020-06-11,1.0,0.0,,5.0,1.0,
18094,Shizuoka,2020-06-12,0.0,0.0,,5.0,1.0,
18095,Shizuoka,2020-06-13,0.0,0.0,,5.0,1.0,
18096,Shizuoka,2020-06-14,0.0,0.0,,5.0,1.0,
18097,Shizuoka,2020-06-15,0.0,0.0,,5.0,1.0,
18098,Shizuoka,2020-06-16,1.0,0.0,,6.0,1.0,
18099,Shizuoka,2020-06-17,1.0,0.0,,7.0,1.0,
18100,Shizuoka,2020-06-18,0.0,0.0,,7.0,1.0,
18101,Shizuoka,2020-06-19,1.0,0.0,,8.0,1.0,
18102,Shizuoka,2020-06-20,0.0,0.0,,8.0,1.0,
18103,Shizuoka,2020-06-21,0.0,0.0,,8.0,1.0,
18104,Shizuoka,2020-06-22,0.0,0.0,,8.0,1.0,
18105,Shizuoka,2020-06-23,0.0,0.0,,8.0,1.0,
18106,Shizuoka,2020-06-24,0.0,0.0,,8.0,1.0,
18107,Shizuoka,2020-06-25,0.0,0.0,,8.0,1.0,
18108,Shizuoka,2020-06-26,0.0,0.0,,8.0,1.0,
18109,Shizuoka,2020-06-27,0.0,0.0,,8.0,1.0,
18110,Shizuoka,2020-06-28,0.0,0.0,,8.0,1.0,
18111,Shizuoka,2020-06-29,1.0,0.0,,9.0,1.0,
18112,Shizuoka,2020-06-30,0.0,0.0,,9.0,1.0,
18113,Shizuoka,2020-07-01,0.0,0.0,,9.0,1.0,
18114,Shizuoka,2020-07-02,0.0,0.0,,9.0,1.0,
18115,Shizuoka,2020-07-03,5.0,0.0,,14.0,1.0,
18116,Shizuoka,2020-07-04,0.0,0.0,,14.0,1.0,
18117,Shizuoka,2020-07-05,0.0,0.0,,14.0,1.0,
18118,Shizuoka,2020-07-06,0.0,0.0,,14.0,1.0,
18119,Shizuoka,2020-07-07,2.0,0.0,,16.0,1.0,
18120,Shizuoka,2020-07-08,1.0,0.0,,17.0,1.0,
18121,Shizuoka,2020-07-09,2.0,0.0,,19.0,1.0,
18122,Shizuoka,2020-07-10,1.0,0.0,,20.0,1.0,
18123,Shizuoka,2020-07-11,0.0,0.0,,20.0,1.0,
18124,Shizuoka,2020-07-12,2.0,0.0,,22.0,1.0,
18125,Shizuoka,2020-07-13,0.0,0.0,,22.0,1.0,
18126,Shizuoka,2020-07-14,2.0,0.0,,24.0,1.0,
18127,Shizuoka,2020-07-15,1.0,0.0,,25.0,1.0,
18128,Shizuoka,2020-07-16,2.0,0.0,,27.0,1.0,
18129,Shizuoka,2020-07-17,3.0,0.0,,30.0,1.0,
18130,Shizuoka,2020-07-18,2.0,0.0,,32.0,1.0,
18131,Shizuoka,2020-07-19,4.0,0.0,,36.0,1.0,
18132,Shizuoka,2020-07-20,1.0,0.0,,37.0,1.0,
18133,Shizuoka,2020-07-21,5.0,0.0,,42.0,1.0,
18134,Shizuoka,2020-07-22,5.0,0.0,,47.0,1.0,
18135,Shizuoka,2020-07-23,5.0,0.0,,52.0,1.0,
18136,Shizuoka,2020-07-24,7.0,0.0,,59.0,1.0,
18137,Shizuoka,2020-07-25,30.0,0.0,,89.0,1.0,
18138,Shizuoka,2020-07-26,25.0,0.0,,114.0,1.0,
18139,Shizuoka,2020-07-27,14.0,0.0,,128.0,1.0,
18140,Shizuoka,2020-07-28,18.0,0.0,,146.0,1.0,
18141,Shizuoka,2020-07-29,16.0,0.0,,162.0,1.0,
18142,Shizuoka,2020-07-30,16.0,0.0,,178.0,1.0,
18143,Shizuoka,2020-07-31,19.0,0.0,,197.0,1.0,
18144,Shizuoka,2020-08-01,20.0,0.0,,217.0,1.0,
18145,Shizuoka,2020-08-02,18.0,0.0,,235.0,1.0,
18146,Shizuoka,2020-08-03,2.0,0.0,,237.0,1.0,
18147,Shizuoka,2020-08-04,16.0,0.0,,253.0,1.0,
18148,Shizuoka,2020-08-05,9.0,0.0,,262.0,1.0,
18149,Shizuoka,2020-08-06,9.0,0.0,,271.0,1.0,
18150,Shizuoka,2020-08-07,2.0,0.0,,273.0,1.0,
18151,Shizuoka,2020-08-08,7.0,0.0,,280.0,1.0,
18152,Shizuoka,2020-08-09,12.0,0.0,,292.0,1.0,
18153,Shizuoka,2020-08-10,6.0,0.0,,298.0,1.0,
18154,Shizuoka,2020-08-11,7.0,0.0,,305.0,1.0,
18155,Shizuoka,2020-08-12,10.0,0.0,,315.0,1.0,
18156,Shizuoka,2020-08-13,3.0,0.0,,318.0,1.0,
18157,Shizuoka,2020-08-14,9.0,0.0,,327.0,1.0,
18158,Shizuoka,2020-08-15,11.0,0.0,,338.0,1.0,
18159,Shizuoka,2020-08-16,7.0,0.0,,345.0,1.0,
