,cidade,date,total_confirmed,new_confirmed,total_deceased,new_deceased
557,São José dos Campos,2020-02-25,0,0,0,0
1202,São José dos Campos,2020-02-26,0,0,0,0
1847,São José dos Campos,2020-02-27,0,0,0,0
2492,São José dos Campos,2020-02-28,0,0,0,0
3137,São José dos Campos,2020-02-29,0,0,0,0
3782,São José dos Campos,2020-03-01,0,0,0,0
4427,São José dos Campos,2020-03-02,0,0,0,0
5072,São José dos Campos,2020-03-03,0,0,0,0
5717,São José dos Campos,2020-03-04,0,0,0,0
6362,São José dos Campos,2020-03-05,0,0,0,0
7007,São José dos Campos,2020-03-06,0,0,0,0
7652,São José dos Campos,2020-03-07,0,0,0,0
8297,São José dos Campos,2020-03-08,0,0,0,0
8942,São José dos Campos,2020-03-09,0,0,0,0
9587,São José dos Campos,2020-03-10,0,0,0,0
10232,São José dos Campos,2020-03-11,0,0,0,0
10877,São José dos Campos,2020-03-12,0,0,0,0
11522,São José dos Campos,2020-03-13,0,0,0,0
12167,São José dos Campos,2020-03-14,0,0,0,0
12812,São José dos Campos,2020-03-15,0,0,0,0
13457,São José dos Campos,2020-03-16,0,0,0,0
14102,São José dos Campos,2020-03-17,0,0,0,0
14747,São José dos Campos,2020-03-18,1,1,0,0
15392,São José dos Campos,2020-03-19,1,0,0,0
16037,São José dos Campos,2020-03-20,1,0,0,0
16682,São José dos Campos,2020-03-21,1,0,0,0
17327,São José dos Campos,2020-03-22,1,0,0,0
17972,São José dos Campos,2020-03-23,1,0,0,0
18617,São José dos Campos,2020-03-24,1,0,0,0
19262,São José dos Campos,2020-03-25,2,1,0,0
19907,São José dos Campos,2020-03-26,2,0,0,0
20552,São José dos Campos,2020-03-27,4,2,0,0
21197,São José dos Campos,2020-03-28,4,0,0,0
21842,São José dos Campos,2020-03-29,4,0,0,0
22487,São José dos Campos,2020-03-30,5,1,0,0
23132,São José dos Campos,2020-03-31,9,4,0,0
23777,São José dos Campos,2020-04-01,12,3,0,0
24422,São José dos Campos,2020-04-02,14,2,0,0
25067,São José dos Campos,2020-04-03,20,6,0,0
25712,São José dos Campos,2020-04-04,24,4,0,0
26357,São José dos Campos,2020-04-05,30,6,0,0
27002,São José dos Campos,2020-04-06,48,18,0,0
27647,São José dos Campos,2020-04-07,61,13,0,0
28292,São José dos Campos,2020-04-08,77,16,0,0
28937,São José dos Campos,2020-04-09,81,4,1,1
