,cidade,date,total_confirmed,new_confirmed,total_deceased,new_deceased
562,São Paulo,2020-02-25,1,0,0,0
1207,São Paulo,2020-02-26,1,0,0,0
1852,São Paulo,2020-02-27,1,0,0,0
2497,São Paulo,2020-02-28,2,1,0,0
3142,São Paulo,2020-02-29,2,0,0,0
3787,São Paulo,2020-03-01,2,0,0,0
4432,São Paulo,2020-03-02,2,0,0,0
5077,São Paulo,2020-03-03,2,0,0,0
5722,São Paulo,2020-03-04,3,1,0,0
6367,São Paulo,2020-03-05,6,3,0,0
7012,São Paulo,2020-03-06,6,0,0,0
7657,São Paulo,2020-03-07,12,6,0,0
8302,São Paulo,2020-03-08,15,3,0,0
8947,São Paulo,2020-03-09,15,0,0,0
9592,São Paulo,2020-03-10,18,3,0,0
10237,São Paulo,2020-03-11,29,11,0,0
10882,São Paulo,2020-03-12,44,15,0,0
11527,São Paulo,2020-03-13,44,0,0,0
12172,São Paulo,2020-03-14,62,18,0,0
12817,São Paulo,2020-03-15,62,0,0,0
13462,São Paulo,2020-03-16,145,83,0,0
14107,São Paulo,2020-03-17,156,11,1,1
14752,São Paulo,2020-03-18,214,58,3,2
15397,São Paulo,2020-03-19,259,45,5,2
16042,São Paulo,2020-03-20,306,47,9,4
16687,São Paulo,2020-03-21,306,0,9,0
17332,São Paulo,2020-03-22,306,0,9,0
17977,São Paulo,2020-03-23,306,0,9,0
18622,São Paulo,2020-03-24,306,0,9,0
19267,São Paulo,2020-03-25,722,416,44,35
19912,São Paulo,2020-03-26,899,177,53,9
20557,São Paulo,2020-03-27,1044,145,62,9
21202,São Paulo,2020-03-28,1044,0,62,0
21847,São Paulo,2020-03-29,1044,0,62,0
22492,São Paulo,2020-03-30,1233,189,103,41
23137,São Paulo,2020-03-31,1885,652,121,18
23782,São Paulo,2020-04-01,2418,533,144,23
24427,São Paulo,2020-04-02,2815,397,164,20
25072,São Paulo,2020-04-03,3202,387,186,22
25717,São Paulo,2020-04-04,3496,294,212,26
