,estado,date,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered
10320,Tokyo,2020-05-09,36.0,,,36.0,180.0,
10321,Tokyo,2020-05-10,22.0,0.0,,58.0,180.0,
10322,Tokyo,2020-05-11,15.0,9.0,,73.0,189.0,
10323,Tokyo,2020-05-12,27.0,7.0,,100.0,196.0,
10324,Tokyo,2020-05-13,10.0,7.0,,110.0,203.0,
10325,Tokyo,2020-05-14,30.0,9.0,,140.0,212.0,
10326,Tokyo,2020-05-15,9.0,7.0,,149.0,219.0,
10327,Tokyo,2020-05-16,14.0,11.0,,163.0,230.0,
10328,Tokyo,2020-05-17,5.0,7.0,,168.0,237.0,
10329,Tokyo,2020-05-18,10.0,4.0,,178.0,241.0,
10330,Tokyo,2020-05-19,5.0,3.0,,183.0,244.0,
10331,Tokyo,2020-05-20,5.0,3.0,,188.0,247.0,
10332,Tokyo,2020-05-21,11.0,9.0,,199.0,256.0,
10333,Tokyo,2020-05-22,2.0,7.0,,201.0,263.0,
10334,Tokyo,2020-05-23,3.0,8.0,,204.0,271.0,
10335,Tokyo,2020-05-24,14.0,9.0,,218.0,280.0,
10336,Tokyo,2020-05-25,8.0,8.0,,226.0,288.0,
10337,Tokyo,2020-05-26,10.0,4.0,,236.0,292.0,
10338,Tokyo,2020-05-27,11.0,4.0,,247.0,296.0,
10339,Tokyo,2020-05-28,15.0,3.0,,262.0,299.0,
10340,Tokyo,2020-05-29,21.0,3.0,,283.0,302.0,
10341,Tokyo,2020-05-30,14.0,2.0,,297.0,304.0,
10342,Tokyo,2020-05-31,5.0,1.0,,302.0,305.0,
10343,Tokyo,2020-06-01,13.0,0.0,,315.0,305.0,
10344,Tokyo,2020-06-02,34.0,1.0,,349.0,306.0,
10345,Tokyo,2020-06-03,12.0,0.0,,361.0,306.0,
10346,Tokyo,2020-06-04,28.0,1.0,,389.0,307.0,
10347,Tokyo,2020-06-05,20.0,2.0,,409.0,309.0,
10348,Tokyo,2020-06-06,26.0,2.0,,435.0,311.0,
10349,Tokyo,2020-06-07,14.0,0.0,,449.0,311.0,
10350,Tokyo,2020-06-08,13.0,0.0,,462.0,311.0,
10351,Tokyo,2020-06-09,12.0,0.0,,474.0,311.0,
10352,Tokyo,2020-06-10,18.0,0.0,,492.0,311.0,
10353,Tokyo,2020-06-11,22.0,0.0,,514.0,311.0,
10354,Tokyo,2020-06-12,25.0,2.0,,539.0,313.0,
10355,Tokyo,2020-06-13,24.0,1.0,,563.0,314.0,
10356,Tokyo,2020-06-14,47.0,0.0,,610.0,314.0,
10357,Tokyo,2020-06-15,48.0,0.0,,658.0,314.0,
10358,Tokyo,2020-06-16,27.0,2.0,,685.0,316.0,
10359,Tokyo,2020-06-17,16.0,1.0,,701.0,317.0,
10360,Tokyo,2020-06-18,41.0,0.0,,742.0,317.0,
10361,Tokyo,2020-06-19,35.0,3.0,,777.0,320.0,
10362,Tokyo,2020-06-20,39.0,0.0,,816.0,320.0,
10363,Tokyo,2020-06-21,34.0,0.0,,850.0,320.0,
10364,Tokyo,2020-06-22,29.0,1.0,,879.0,321.0,
10365,Tokyo,2020-06-23,31.0,2.0,,910.0,323.0,
10366,Tokyo,2020-06-24,55.0,2.0,,965.0,325.0,
10367,Tokyo,2020-06-25,48.0,0.0,,1013.0,325.0,
10368,Tokyo,2020-06-26,54.0,0.0,,1067.0,325.0,
10369,Tokyo,2020-06-27,57.0,0.0,,1124.0,325.0,
10370,Tokyo,2020-06-28,60.0,0.0,,1184.0,325.0,
10371,Tokyo,2020-06-29,58.0,0.0,,1242.0,325.0,
10372,Tokyo,2020-06-30,54.0,0.0,,1296.0,325.0,
10373,Tokyo,2020-07-01,67.0,0.0,,1363.0,325.0,
10374,Tokyo,2020-07-02,107.0,0.0,,1470.0,325.0,
10375,Tokyo,2020-07-03,124.0,0.0,,1594.0,325.0,
10376,Tokyo,2020-07-04,131.0,0.0,,1725.0,325.0,
10377,Tokyo,2020-07-05,111.0,0.0,,1836.0,325.0,
10378,Tokyo,2020-07-06,102.0,0.0,,1938.0,325.0,
10379,Tokyo,2020-07-07,106.0,0.0,,2044.0,325.0,
10380,Tokyo,2020-07-08,75.0,0.0,,2119.0,325.0,
10381,Tokyo,2020-07-09,224.0,0.0,,2343.0,325.0,
10382,Tokyo,2020-07-10,243.0,0.0,,2586.0,325.0,
10383,Tokyo,2020-07-11,206.0,0.0,,2792.0,325.0,
10384,Tokyo,2020-07-12,206.0,0.0,,2998.0,325.0,
10385,Tokyo,2020-07-13,118.0,0.0,,3116.0,325.0,
10386,Tokyo,2020-07-14,143.0,0.0,,3259.0,325.0,
10387,Tokyo,2020-07-15,165.0,1.0,,3424.0,326.0,
10388,Tokyo,2020-07-16,286.0,0.0,,3710.0,326.0,
10389,Tokyo,2020-07-17,293.0,0.0,,4003.0,326.0,
10390,Tokyo,2020-07-18,290.0,0.0,,4293.0,326.0,
10391,Tokyo,2020-07-19,188.0,0.0,,4481.0,326.0,
